blind_id,triplet_id,symbol,trade_date,year,label,participation,direction,turn,retention,quieting,spike_distribution,volume_alignment,rejection,context,ir20,ir40,ir60,persistent_excess_score,mfe60,mae60,future_dd60
CASE_000326,141,603283.SH,2020-10-19,2020,LOSER,MID,1,2,1.0,-1.0,1,0.0,0.0,2,-0.2646235278246395,-0.2861190063748782,-0.39944811803909147,0.011631885049606569,0.013211203100228941,-0.3903470142680996,-0.38523868240267767
CASE_000465,31,002426.SZ,2018-02-27,2018,LOSER,MID,-2,1,-1.0,,-2,,0.0,-1,-0.10509234357969217,-0.16222521694950828,-0.27544745019365474,0.07772236076475478,0.03296703296703285,-0.23992673992673985,-0.25886524822695034
CASE_000676,229,300173.SZ,2021-09-15,2021,LOSER,HIGH,1,-1,1.0,1.0,-2,1.0,0.0,0,-0.0909266750347125,-0.07512351380951436,-0.14443908190996518,0.1596480201131364,0.04817708333333415,-0.2526041666666664,-0.20833333333333326
CASE_000001,176,300745.SZ,2020-03-09,2020,LOSER,HIGH,-1,1,0.0,0.0,0,1.0,0.0,-1,-0.08866026236303826,-0.16074811123725827,-0.17849729957027977,0.11006517016654598,0.08870967741935454,-0.2791218637992833,-0.29602733874412646
CASE_000496,7,002376.SZ,2018-09-10,2018,WINNER,LOW,0,1,0.0,0.0,0,0.0,0.0,1,0.07733298652320206,0.20147666262833855,0.0801799068891874,0.8344069723380069,0.1975155279503109,-0.11118012422360257,-0.16329966329966328
CASE_000546,129,002512.SZ,2020-04-13,2020,LOSER,LOW,0,1,0.0,-2.0,0,1.0,0.0,0,-0.12815958692887094,-0.16018283037605682,-0.2895445180367064,0.09667896678966789,0.06932409012131746,-0.14384748700173278,-0.18985270049099834
CASE_000333,35,300101.SZ,2018-08-03,2018,NEUTRAL,MID,-1,-2,-1.0,0.0,0,-1.0,0.0,-1,0.03200416351471095,0.003931453703826825,-0.07107311434113016,0.5174396320429283,0.1146897093479966,-0.23802042419481562,-0.2965074839629369
CASE_000173,226,000639.SZ,2021-04-07,2021,WINNER,HIGH,-2,-2,-1.0,0.0,0,-1.0,0.0,-2,-0.003812396986365464,0.1535644421821124,0.17947762552363505,0.8630508474576272,0.2573673870333988,-0.04715127701375266,-0.08510638297872342
CASE_000703,48,300193.SZ,2018-07-17,2018,WINNER,HIGH,-2,-1,-1.0,1.0,1,1.0,0.0,-2,0.11786697095872052,0.24731028219640155,0.36269359461500483,0.9845021309569935,0.23378839590443734,-0.08191126279863492,-0.10569105691056913
CASE_000429,144,601999.SH,2020-02-28,2020,LOSER,MID,1,-2,-1.0,-1.0,-2,1.0,-1.0,1,-0.06277239171287849,-0.1526785617780263,-0.1718810037525478,0.12939068100358422,0.0923482849604218,-0.25725593667546165,-0.3020961775585693
CASE_000241,146,300747.SZ,2020-09-01,2020,NEUTRAL,MID,1,1,2.0,0.0,1,0.0,0.0,1,-0.10120812208750747,-0.011261323390747653,0.0854915698448961,0.5252349460494257,0.1843258571796862,-0.2405259087393652,-0.23936581593194073
CASE_000573,140,300151.SZ,2020-09-15,2020,WINNER,LOW,2,-1,1.0,0.0,0,1.0,0.0,2,0.16981639259081271,0.29127134057172316,0.3529619846992985,0.9673384294649062,0.45491183879093255,-0.05390428211586917,-0.12943262411347545
CASE_000698,49,300219.SZ,2018-11-16,2018,LOSER,HIGH,-1,2,0.0,0.0,1,1.0,0.0,0,-0.03832350927754427,-0.11375008937513995,-0.2445109554508803,0.10160029772981019,0.010570824524312794,-0.3171247357293864,-0.31289640591966106
CASE_000099,117,002822.SZ,2019-07-02,2019,WINNER,HIGH,1,0,1.0,0.0,0,0.0,0.0,1,0.24937741074561937,0.43882559666938115,0.409137887014574,0.9897360703812317,0.4846456109657076,-0.021001615508885352,-0.08445040214477217
CASE_000789,154,600067.SH,2020-02-17,2020,LOSER,MID,-1,0,-1.0,0.0,-1,1.0,0.0,-2,-0.13985611507584542,-0.12680162977445467,-0.20703877349870337,0.10177935943060498,0.1338797814207653,-0.09836065573770503,-0.16957605985037416
CASE_000201,232,002364.SZ,2021-08-30,2021,LOSER,HIGH,1,0,1.0,0.0,0,1.0,0.0,1,-0.0932159399399981,-0.1328259195733883,-0.09620504626560498,0.1561712846347607,0.040609137055837685,-0.15532994923857912,-0.1370558375634523
CASE_000138,239,000503.SZ,2021-06-03,2021,LOSER,HIGH,-1,1,0.0,0.0,1,1.0,0.0,-1,-0.17150791018836511,-0.20430567698743973,-0.17338986605575848,0.0985172981878089,0.00837320574162681,-0.19976076555023914,-0.1961722488038279
CASE_000396,93,300555.SZ,2019-10-28,2019,LOSER,MID,0,0,0.0,1.0,-1,1.0,0.0,1,-0.06374309912438438,-0.09837517080649047,-0.15883322705285718,0.1362819129809421,0.025423728813559476,-0.16478342749529218,-0.15913370998116783
CASE_000030,21,603258.SH,2018-01-04,2018,LOSER,MID,-1,-2,-1.0,0.0,1,-1.0,0.0,-2,-0.15933293336085874,-0.15691655691967157,-0.0871326310575688,0.048594377510040164,0.037901758641600836,-0.2989690721649486,-0.2939939939939942
CASE_000590,167,002241.SZ,2020-05-29,2020,WINNER,HIGH,0,1,0.0,0.0,0,0.0,0.0,1,0.22249931340511162,0.6128216895570773,0.7967426061876139,0.9823399558498896,1.1266478342749537,0.01789077212806056,-0.1381624623929647
CASE_000410,16,002625.SZ,2018-06-12,2018,LOSER,LOW,-2,-1,-1.0,,-1,,0.0,-2,-0.11946710855510417,-0.1858549001815154,-0.2410366648851025,0.0498793242156074,0.008064516129032251,-0.40542521994134895,-0.4017595307917886
CASE_000319,100,000920.SZ,2019-06-12,2019,NEUTRAL,MID,1,-1,-1.0,1.0,1,1.0,0.0,1,-0.009070549973057373,0.06217719028747344,-0.02564852971488768,0.48637551325121314,0.13050460801405528,-0.07116832457136668,-0.14961636828644487
CASE_000306,128,300432.SZ,2020-10-12,2020,NEUTRAL,LOW,2,0,1.0,1.0,-1,1.0,0.0,2,0.03418708581895319,-0.0076334161605419795,-0.0891371809130877,0.4962251201098147,0.21393998063891484,-0.0600193610842209,-0.18234804329725252
CASE_000531,164,000935.SZ,2020-03-09,2020,NEUTRAL,HIGH,0,1,0.0,-2.0,-1,1.0,0.0,0,-0.011775119059588737,0.018375952863209324,-0.056545713361154895,0.5043446777697321,0.014705882352941124,-0.16711229946524075,-0.16337285902503296
CASE_000164,148,002649.SZ,2020-04-15,2020,NEUTRAL,MID,0,-1,-1.0,0.0,0,1.0,0.0,0,-0.07050926815574617,-0.036978513373263064,-0.06579798089983405,0.4718024327312938,0.142532434365104,-0.12417582417582418,-0.13778256189451
CASE_000431,120,002174.SZ,2019-12-13,2019,WINNER,HIGH,0,2,1.0,-1.0,0,1.0,0.0,0,0.3259656417317487,0.3652966827979609,0.05888216974288589,0.9449213161659513,0.7497291440953409,-0.019501625135427858,-0.3538557213930348
CASE_000675,169,603717.SH,2020-07-01,2020,LOSER,HIGH,-1,1,0.0,0.0,0,1.0,0.0,0,0.0792376080228597,-0.16252301375823666,-0.22751355108984317,0.14495873699318262,0.19285714285714284,-0.09404761904761905,-0.22626262626262628
CASE_000075,167,002139.SZ,2020-05-29,2020,NEUTRAL,HIGH,0,-1,-2.0,0.0,0,1.0,0.0,-1,-0.08806537018462951,-0.05157449128381,0.011525074273459612,0.452906548933039,0.34631737999859347,0.00379506641366234,-0.14198473282442736
CASE_000008,45,600073.SH,2018-11-09,2018,WINNER,HIGH,-1,-1,-1.0,0.0,1,1.0,0.0,-2,0.07026799886131473,0.23786820516387208,0.24218797614398213,0.9578672632363907,0.2768729641693817,-0.021172638436481983,-0.09455958549222776
CASE_000428,98,002322.SZ,2019-06-28,2019,NEUTRAL,MID,1,0,0.0,0.0,1,1.0,0.0,0,0.0012880584085560535,-0.024038863327369177,-0.043240635261676874,0.4577516531961793,0.18203497615262187,-0.09062003179650258,-0.11186696900982651
CASE_000274,73,300406.SZ,2019-07-29,2019,NEUTRAL,LOW,1,1,1.0,0.0,1,1.0,0.0,2,-0.013845598976738094,0.031078625678988614,-0.07943223281100908,0.4930909090909091,0.2507956715467854,-0.17250159134309373,-0.18684210526315814
CASE_000078,73,600587.SH,2019-07-29,2019,LOSER,LOW,2,1,1.0,0.0,1,1.0,0.0,2,-0.061792976615159104,-0.16095589869680388,-0.20995672706370916,0.04654545454545454,0.006318207926479191,-0.13670304422745483,-0.12464101091326751
CASE_000645,228,002396.SZ,2021-08-27,2021,LOSER,HIGH,2,-1,1.0,0.0,1,1.0,0.0,1,-0.04930272031225569,-0.1517997210207683,-0.20333977301775577,0.11569987389659521,0.04107542942494424,-0.18894697535474225,-0.2057329462989841
CASE_000486,67,002632.SZ,2019-05-16,2019,NEUTRAL,LOW,0,-2,-1.0,0.0,-1,1.0,0.0,-1,0.029419371581670406,0.0011897848460928652,-0.06530184891116006,0.5214395099540582,0.05021520803443402,-0.150518446686829,-0.17580872011251736
CASE_000630,230,603501.SH,2021-03-08,2021,NEUTRAL,HIGH,2,-1,1.0,0.0,1,1.0,0.0,1,0.07053654285771285,-0.009866750660492939,-0.11102132910238299,0.5315224681421864,0.20597362296353738,-0.07649340574088459,-0.13334645152826985
CASE_000551,156,300099.SZ,2020-11-19,2020,NEUTRAL,MID,1,-2,-1.0,1.0,-2,1.0,-1.0,0,-0.031153236485579244,-0.0029969765200691945,-0.017662133279955902,0.5266372582287071,0.06068268015170686,-0.22123893805309713,-0.23803680981595088
CASE_000235,80,002251.SZ,2019-07-23,2019,NEUTRAL,LOW,-1,-1,-2.0,1.0,1,1.0,0.0,-1,-0.002227918966827242,-0.022252640997025702,-0.022133901868102594,0.4967225054624909,0.056209150326796964,-0.07581699346405257,-0.06708860759493684
CASE_000592,199,000963.SZ,2021-01-15,2021,WINNER,LOW,0,-1,0.0,0.0,-2,1.0,0.0,0,0.21632221971698065,0.5131647944207801,0.45556863432140393,0.9842546063651592,0.6095588235294098,-0.09742647058823584,-0.17394382818031595
CASE_000734,139,002813.SZ,2020-12-25,2020,WINNER,LOW,-1,-1,-1.0,-1.0,0,0.0,0.0,-1,0.45633845278346735,0.39135411230524403,0.47277478165320896,0.9865546218487395,1.0063944909001474,-0.0703393999016233,-0.39390700160342085
CASE_000392,90,000785.SZ,2019-10-08,2019,LOSER,MID,0,1,0.0,-2.0,-1,1.0,1.0,1,-0.1162359345059212,-0.14094582376793793,-0.1652289355878889,0.08756756756756756,0.11617515638963383,-0.16711349419124244,-0.23308883455582763
CASE_000020,205,002686.SZ,2021-06-29,2021,NEUTRAL,MID,-1,0,-1.0,1.0,1,1.0,0.0,-1,0.08589646707577567,-0.031481523478193774,-0.14248734848665068,0.4606993904395252,0.21892393320964776,-0.02597402597402576,-0.14062500000000022
CASE_000062,59,603022.SH,2018-11-08,2018,NEUTRAL,HIGH,-1,1,-1.0,0.0,-1,1.0,0.0,-2,0.024506866576754424,-0.009234680868273512,-0.014337807291078095,0.4990675121223424,0.11428571428571432,-0.08843537414965985,-0.16256157635467972
CASE_000048,82,002920.SZ,2019-01-07,2019,WINNER,MID,-2,-1,-2.0,1.0,1,2.0,0.0,-2,0.22635786761748933,0.36524874814031033,0.3766776521572548,0.9621601763409258,0.8495670995671007,-0.008116883116883078,-0.10578231292517004
CASE_000417,44,603908.SH,2018-12-04,2018,NEUTRAL,HIGH,-1,1,-1.0,0.0,1,1.0,0.0,-1,0.08653541290589606,-0.043238985565214244,-0.03258447826978743,0.47253962403243643,0.11952026468155497,-0.17287014061207606,-0.15463076295389666
CASE_000442,5,603648.SH,2018-12-18,2018,LOSER,LOW,-2,-1,-2.0,0.0,1,1.0,0.0,-2,-0.06183355083550541,-0.11396293794978785,-0.07127164919720133,0.16906077348066298,0.29694323144104784,-0.17903930131004364,-0.17928633594429944
CASE_000041,228,600522.SH,2021-08-27,2021,WINNER,HIGH,-1,-1,-1.0,,-1,,0.0,-1,0.1450105592187176,0.5529030854638874,1.2164292148598745,0.9883354350567465,1.475471698113206,-0.0339622641509435,-0.10749354005167966
CASE_000262,67,300230.SZ,2019-05-16,2019,LOSER,LOW,0,-2,-2.0,0.0,-1,1.0,0.0,0,-0.12741751488448907,-0.16777122169072806,-0.17140517642487801,0.05934150076569678,0.023032629558541462,-0.2544269862128351,-0.2503968618139857
CASE_000426,128,600110.SH,2020-10-12,2020,WINNER,LOW,1,2,1.0,-1.0,0,1.0,0.0,2,0.18481316414838006,0.07771858964046899,0.4030894149952139,0.9457789979409746,0.7118380062305294,-0.09034267912772576,-0.15155279503105612
CASE_000403,183,300234.SZ,2021-01-05,2021,WINNER,LOW,-1,-2,-1.0,-1.0,-1,-1.0,-1.0,-2,-0.15819392548079397,0.3580392857721408,0.7149981169878611,0.9859390693003013,1.2676056338028165,-0.16901408450704247,-0.27062706270627035
CASE_000766,159,603969.SH,2020-10-13,2020,NEUTRAL,MID,1,-1,0.0,1.0,-2,1.0,0.0,0,-0.10485889473540462,-0.012664637587067835,0.009417492946658265,0.4711934156378601,0.009132420091324311,-0.1278538812785387,-0.11643835616438325
CASE_000253,3,600354.SH,2018-02-01,2018,WINNER,LOW,-2,-2,-2.0,0.0,0,1.0,0.0,-2,0.13943528215532047,0.23477264746541687,0.03234619608993023,0.9448248086991542,0.5032573289902278,-0.07817589576547235,-0.2597701149425288
CASE_000068,232,601727.SH,2021-08-30,2021,NEUTRAL,HIGH,-1,2,-1.0,0.0,-1,1.0,0.0,-1,0.10510445086151396,-0.029204361782499348,-0.12070158443223285,0.46032745591939545,0.14639175257731973,-0.08041237113402044,-0.18098720292504566
CASE_000316,160,002737.SZ,2020-02-28,2020,NEUTRAL,MID,0,-2,-2.0,1.0,-2,1.0,-1.0,0,-0.018911542828838113,-0.05756961992608204,0.02885543893500096,0.47240143369175625,0.058906030855540026,-0.07433380084151442,-0.09939556749496292
CASE_000504,95,002152.SZ,2019-07-25,2019,NEUTRAL,MID,1,0,1.0,1.0,1,1.0,0.0,1,-0.011017862828060731,-0.08045131607225195,0.10553147399887365,0.5134741442097597,0.4023668639053257,-0.06952662721893477,-0.14978902953586504
CASE_000029,196,300380.SZ,2021-01-11,2021,WINNER,LOW,-1,-2,-2.0,0.0,1,1.0,0.0,-2,0.08083303423253779,0.14414178657078658,0.13136014308149058,0.841083974573436,0.20047169811320775,-0.026533018867924474,-0.17976424361493126
CASE_000626,44,603196.SH,2018-12-04,2018,LOSER,HIGH,0,-1,0.0,1.0,-2,1.0,0.0,0,0.07302813924034691,-0.1532000843729672,-0.14326500898636374,0.14854404718024328,0.23927550047664425,-0.25929456625357494,-0.36816720257234725
CASE_000371,32,300532.SZ,2018-01-26,2018,WINNER,MID,0,0,-1.0,1.0,0,1.0,0.0,-1,0.11530269318928343,0.2728889588214887,0.45205242094706033,0.9703525641025641,0.5311845960652997,-0.12766848053578883,-0.10422771033905398
CASE_000432,98,002279.SZ,2019-06-28,2019,LOSER,MID,0,-1,-1.0,1.0,1,1.0,0.0,-1,-0.09573174869528472,-0.09432848613799989,-0.17876586910623743,0.09000734753857458,0.053391053391053545,-0.21067821067821102,-0.23291492329149255
CASE_000301,100,300180.SZ,2019-06-12,2019,WINNER,MID,0,-1,-1.0,1.0,1,1.0,0.0,1,0.10798606181084629,0.08634880408713219,0.20260182278522837,0.9148936170212766,0.20683412211901842,-0.06144393241167434,-0.09553478712357233
CASE_000782,116,300420.SZ,2019-04-24,2019,LOSER,HIGH,2,0,1.0,0.0,1,1.0,0.0,2,-0.08174360900886944,-0.10053742814020708,-0.13002748741725068,0.15135341212352268,0.004225352112675829,-0.2971830985915489,-0.2859154929577461
CASE_000179,208,601098.SH,2021-01-21,2021,WINNER,MID,-2,-2,-2.0,1.0,1,1.0,0.0,-2,0.07522250078005105,0.11452980048645012,0.08546947342018488,0.8272636151019045,0.21444201312910294,-0.036105032822757344,-0.058768656716417955
CASE_000065,200,002896.SZ,2021-02-04,2021,LOSER,LOW,-1,-2,-2.0,0.0,0,0.0,0.0,0,-0.18027149256061858,-0.19041102570498136,-0.17919383569169586,0.07771847898599066,0.006893910379165424,-0.19532746074301022,-0.1895825354270394
CASE_000537,111,002864.SZ,2019-02-22,2019,LOSER,HIGH,-1,1,0.0,0.0,0,1.0,0.0,-1,-0.12731443827110606,-0.230896786136005,-0.22586354924763016,0.05978462681024879,0.15694403316553118,-0.18625999407758398,-0.28036175710594313
CASE_000646,185,300170.SZ,2021-01-12,2021,NEUTRAL,LOW,-2,-2,-2.0,0.0,1,1.0,0.0,-2,-0.009987401006686727,0.03678057521863281,-0.04538091711510875,0.514553362328538,0.08594815825375135,-0.13778990450204687,-0.1766233766233769
CASE_000180,217,002481.SZ,2021-08-16,2021,LOSER,MID,-1,0,-1.0,1.0,0,0.0,0.0,-1,-0.10178612285815211,-0.1536076583024792,-0.28674326347858564,0.11072664359861592,0.050434782608695716,-0.2295652173913043,-0.22898799313893636
CASE_000407,107,600848.SH,2019-01-23,2019,WINNER,HIGH,0,0,0.0,,-1,,0.0,-1,-0.022319766056636575,0.20452729050933927,0.37908587899717955,0.9,0.8848955803788265,-0.0398251578436134,-0.12174189446916683
CASE_000356,103,601766.SH,2019-02-14,2019,LOSER,HIGH,0,1,0.0,0.0,0,0.0,0.0,-1,-0.1338210827506571,-0.2863752128637676,-0.2077389878372509,0.09583486914854404,0.12935883014623184,-0.1001124859392567,-0.17386831275720127
CASE_000137,106,002055.SZ,2019-03-19,2019,LOSER,HIGH,2,1,2.0,0.0,1,1.0,0.0,0,-0.08726311792139996,-0.1313481421497117,-0.1467251067186738,0.12191416635017091,0.030605455755156274,-0.3193612774451101,-0.32198952879581166
CASE_000601,187,300541.SZ,2021-01-11,2021,NEUTRAL,LOW,-2,-2,-2.0,0.0,1,1.0,0.0,-2,-0.036513303332659716,-0.023906637925968914,0.05446027335943021,0.45065239210438274,0.17439581972566942,-0.1417374265186152,-0.18450184501845046
CASE_000198,193,300682.SZ,2021-07-28,2021,WINNER,LOW,2,1,1.0,0.0,1,1.0,0.0,1,0.11823280201412732,0.44222254841561487,0.897528910230107,0.9753787878787878,0.9343493552168833,0.0023446658851116187,-0.13231904103273384
CASE_000683,174,300454.SZ,2020-01-08,2020,WINNER,HIGH,1,0,1.0,0.0,1,1.0,0.0,2,0.5659966112845702,0.4016769165647084,0.3982458231520804,0.9689618266143418,0.8987234042553189,0.0008510638297873907,-0.28938589484565147
CASE_000468,174,002153.SZ,2020-01-08,2020,LOSER,HIGH,1,1,1.0,0.0,1,1.0,0.0,2,-0.05787525401597514,-0.19431735090936642,-0.25820118489888466,0.07420620763467713,0.18373648996397307,-0.2619660319094186,-0.35357142857142854
CASE_000694,188,300759.SZ,2021-01-11,2021,WINNER,LOW,1,2,1.0,0.0,0,1.0,0.0,2,0.18106912962355304,-0.06804966716193134,0.15103923487627816,0.8624958179993308,0.384414524683802,-0.18400652794777672,-0.3846516562536838
CASE_000379,234,300647.SZ,2021-09-03,2021,LOSER,HIGH,1,-1,1.0,0.0,-1,0.0,0.0,1,-0.15914995820581568,-0.30938188843667974,-0.34258035529499,0.008495909376966647,0.04181494661921703,-0.3211743772241994,-0.32003469210754554
CASE_000704,31,603633.SH,2018-02-27,2018,WINNER,MID,-2,-1,-2.0,0.0,0,1.0,0.0,-2,0.02925105392681436,0.10832438629233808,0.24688623333906756,0.8487115544472152,0.41339343206696744,-0.019961365099806505,-0.10778443113772429
CASE_000721,123,603687.SH,2020-09-22,2020,LOSER,LOW,-1,-1,-1.0,0.0,0,0.0,0.0,-2,-0.08684557915870683,-0.14095834362060092,-0.15561715240789073,0.1412292817679558,0.007843137254901933,-0.24470588235294133,-0.2425897035881437
CASE_000557,3,601118.SH,2018-02-01,2018,NEUTRAL,LOW,0,1,0.0,-2.0,-1,1.0,0.0,-1,0.032806822707894576,-0.041969598802715724,-0.033050102506371935,0.4526782118405155,0.28417266187050294,-0.13669064748201454,-0.22205882352941186
CASE_000569,216,002975.SZ,2021-07-02,2021,LOSER,MID,-1,1,-1.0,0.0,1,1.0,0.0,-1,-0.2800842722071519,-0.3495276676759247,-0.37745425219119466,0.013777635373277796,0.03155479059093502,-0.38405048766494576,-0.38365714285714303
CASE_000631,126,300173.SZ,2020-12-30,2020,LOSER,LOW,-1,1,0.0,-1.0,-1,0.0,0.0,0,-0.1586721115325985,-0.15572388678397137,-0.21568488389013712,0.05736330090573633,0.03042876901798075,-0.3402489626556018,-0.32510288065843673
CASE_000372,146,300484.SZ,2020-09-01,2020,WINNER,MID,1,2,2.0,-1.0,1,1.0,0.0,2,0.2543942757508918,0.4106081348852246,0.3400879430228201,0.9805081796032022,0.9213724088634734,-0.12008577555396716,-0.3218298555377209
CASE_000121,165,600246.SH,2020-01-13,2020,WINNER,HIGH,2,2,2.0,-1.0,1,1.0,0.0,2,0.1134714580055982,0.04080693686641504,0.4784068790937151,0.8689753659407354,0.42115027829313645,-0.1762523191094616,-0.15978456014362674
CASE_000100,172,600829.SH,2020-07-30,2020,LOSER,HIGH,-1,1,-1.0,1.0,-1,1.0,0.0,0,-0.09204734880343242,-0.14535012461947636,-0.18842903045656623,0.13069586718474038,0.039859320046893076,-0.19226260257913252,-0.2080459770114943
CASE_000750,104,002286.SZ,2019-04-01,2019,LOSER,HIGH,1,2,1.0,0.0,1,1.0,0.0,0,-0.010577989789659042,-0.10186089075313516,-0.17148408435725554,0.1594646271510516,0.1335187760778862,-0.21140472878998606,-0.2702020202020202
CASE_000725,52,000030.SZ,2018-05-21,2018,WINNER,HIGH,-1,1,-1.0,1.0,1,1.0,0.0,-1,0.10816386284854998,0.15694618733748106,0.12223196313944912,0.8882890365448505,0.037837837837837895,-0.11576576576576558,-0.11010816859380801
CASE_000745,46,000503.SZ,2018-05-23,2018,LOSER,HIGH,2,0,1.0,,-1,,0.0,2,-0.0738497729080852,-0.14757472395780777,-0.3263531910239714,0.06816292601828762,0.03772683858643733,-0.5164756446991403,-0.5288506281991623
CASE_000444,213,002472.SZ,2021-07-29,2021,WINNER,MID,2,-1,1.0,0.0,1,1.0,0.0,2,0.32339502404211024,0.23756778552304414,0.4827189781987703,0.9706253948199621,0.5926998841251454,-0.008111239860950081,-0.25613496932515334
CASE_000294,237,600166.SH,2021-09-06,2021,LOSER,HIGH,1,2,2.0,-1.0,0,1.0,0.0,2,-0.11909810530026688,-0.17190460489355514,-0.19435095907810868,0.07958477508650519,0.02096436058700224,-0.31865828092243176,-0.31611570247933884
CASE_000572,173,603912.SH,2020-01-06,2020,WINNER,HIGH,0,0,-1.0,1.0,-2,1.0,0.0,-1,0.08626087464649933,0.9768468434422561,0.5650979904847624,0.9843025330003567,1.1760563380281694,-0.18802816901408426,-0.33333333333333337
CASE_000197,51,002653.SZ,2018-12-03,2018,LOSER,HIGH,0,0,0.0,0.0,0,0.0,0.0,0,-0.04428349514751698,-0.10278224239689665,-0.16618540375988178,0.12352507374631268,0.03801396431342163,-0.2684251357641585,-0.26475037821482617
