blind_id,note,sheet
CASE_000283,低点逐步抬升高位波动增大,5
CASE_000469,下跌磨底后跳升形成高平台,5
CASE_000501,连续下降中一次失败反弹,6
CASE_000071,低底一次大幅抬升高位横向保留,6
CASE_000070,长期下降尾部底部回升,6
CASE_000265,平坦平台反复下移末端新低,6
CASE_000466,先升后回落仍保留部分涨幅,6
CASE_000017,早升宽箱后末端再加速,6
CASE_000119,高位平稳后跳空下跌未修复,6
CASE_000770,长底后上升末端宽幅震荡,6
CASE_000297,前段下跌后缩量宽底,6
CASE_000454,长底突然多日加速上升,6
CASE_000336,深回撤后收复又转弱,6
CASE_000358,跳升脉冲回吐后尾部再上升,6
CASE_000031,底部两次下探后渐进抬升,6
CASE_000243,极端脉冲后持续回吐,6
CASE_000097,早峰衰减长底末端再冲,6
CASE_000298,停牌后平台下移持续下跌,6
CASE_000515,低点抬升但末根巨幅上影,7
CASE_000718,深底后渐进恢复末端横盘,7
CASE_000325,宽幅上涨末端极端脉冲回吐,7
CASE_000576,两个尖峰后持续衰减,7
CASE_000317,跌后低位窄幅向上恢复,7
CASE_000026,深回撤后宽幅反弹又回落,7
CASE_000390,高位箱体缓慢下移,7
CASE_000702,箱体下移后弱反弹失败,7
CASE_000413,长期区间后连跌新低,7
CASE_000366,两端尖峰中间弧形底,7
CASE_000737,底部恢复后极端尖峰回吐,7
CASE_000185,深底宽幅复苏尾部新高,7
CASE_000489,持续下降幅度逐渐趋缓,7
CASE_000050,两轮上涨保留后最终下跌,7
CASE_000155,多个失败反弹后低位尾部抬升,7
CASE_000098,单次重定价后下台阶再平衡,7
CASE_000248,下台阶后横盘尾部再下台阶,8
CASE_000705,宽幅周期尾部回升,8
CASE_000395,无序宽箱多次急跌回收,8
CASE_000654,大幅渐进上涨后高位宽回撤,8
CASE_000313,两次宽峰后不断下行,8
CASE_000308,上升反转后低位新低,8
CASE_000295,深跌后底部宽幅修复,8
CASE_000341,平滑上升被一次急跌破坏,8
CASE_000639,高峰后持续衰减进入底,8
CASE_000222,低位平台上移后部分回撤,8
CASE_000277,多次大阴冲击后缓降,8
CASE_000117,上涨末端连续急跌,8
CASE_000383,平台恢复后缓慢回吐,8
CASE_000493,长底后末端连续上升,8
CASE_000520,下跌末端跳升后又回落,8
CASE_000556,长停牌后复牌急跌量比异常,8
CASE_000227,停顿后断崖并长期磨底,9
CASE_000167,孤立上涨后多次下移,9
CASE_000406,下降中反弹失败末端修复,9
CASE_000090,下台阶后反弹失败再磨底,9
CASE_000013,长停牌后连续下降,9
CASE_000151,上升顶部后阶梯回落,9
CASE_000170,长期底部末端突然上升,9
CASE_000246,尖峰回吐低位末端轻抬,9
CASE_000598,底部宽幅区间下影突刺,9
CASE_000223,缓慢台阶上移高位保留,9
CASE_000324,高位平台末端断崖,9
CASE_000204,窄底放量台阶后高位宽箱,9
CASE_000635,反弹失败尾部再次下台阶,9
CASE_000662,前段尖峰后缓降末端微抬,9
CASE_000500,早尖峰回吐后长底再上台阶,9
CASE_000484,高位下台阶后低位平静,9
CASE_000401,大幅尖峰之后大部分回吐,10
CASE_000415,宽幅区间低点抬升尾部新高,10
CASE_000483,长停顿后断崖再部分恢复,10
CASE_000027,跳升后高位横向再波动,10
CASE_000028,后段上涨末端急回撤,10
CASE_000506,长箱体后连续上升,10
CASE_000624,较长平台后末端急加速,10
CASE_000412,早跌后低位宽幅横盘,10
CASE_000600,大幅上涨后高位逐步衰减,10
CASE_000434,长期下行转小幅底部恢复,10
CASE_000545,断续尖峰低位箱体,10
CASE_000559,尖峰后单边衰减至起点以下,10
CASE_000203,宽幅无序双峰后转弱,10
CASE_000772,下跌后宽箱末端低位平衡,10
CASE_000011,阶梯下降末端收窄,10
CASE_000608,反弹失败后再创新低,10
CASE_000042,箱体下移后低位修复,11
CASE_000419,深V后恢复高位箱体,11
CASE_000583,早大脉冲回落再大反弹,11
CASE_000082,箱体尾部缺口后修复不全,11
CASE_000642,宽箱转单边下降,11
CASE_000380,长期底部后扩张部分回吐,11
CASE_000699,多次上升尝试回吐到箱内,11
CASE_000738,急跌回升后再次回吐,11
CASE_000015,整体单边下行偶有反弹,11
CASE_000581,断续尖峰后继续下降,11
CASE_000510,高位脉冲失败后低位收窄,11
CASE_000716,两个尖峰失败下台阶横盘,11
CASE_000205,长底后恢复末端波动较大,11
CASE_000389,下降后长底微抬,11
CASE_000211,下降末端急反弹未收复,11
CASE_000728,多段上移高位保留,11
CASE_000563,两轮反弹全部失败末端低位窄箱,12
CASE_000193,连续下跌后窄幅平台,12
CASE_000798,底部扩张尖峰后部分保留,12
CASE_000162,两次上台阶中间长平台,12
