blind_id,stage
CASE_000573,formal
CASE_000348,open
CASE_000706,formal
CASE_000447,formal
CASE_000672,formal
CASE_000732,formal
CASE_000458,open
CASE_000546,formal
CASE_000596,formal
CASE_000053,open
CASE_000742,formal
CASE_000450,formal
CASE_000594,open
CASE_000062,formal
CASE_000786,formal
CASE_000362,formal
CASE_000299,formal
CASE_000733,formal
CASE_000540,formal
CASE_000186,open
CASE_000560,formal
CASE_000613,formal
CASE_000428,formal
CASE_000778,formal
CASE_000462,formal
CASE_000562,formal
CASE_000610,open
CASE_000113,formal
CASE_000294,formal
CASE_000337,formal
CASE_000202,formal
CASE_000781,open
CASE_000801,formal
CASE_000568,formal
CASE_000283,open
CASE_000645,formal
CASE_000349,formal
CASE_000469,open
CASE_000164,formal
CASE_000501,open
CASE_000242,formal
CASE_000228,formal
CASE_000071,open
CASE_000174,formal
CASE_000603,formal
CASE_000488,formal
CASE_000070,open
CASE_000265,open
CASE_000655,formal
CASE_000339,formal
CASE_000466,open
CASE_000620,formal
CASE_000479,formal
CASE_000461,formal
CASE_000378,formal
CASE_000017,open
CASE_000713,formal
CASE_000040,formal
CASE_000590,formal
CASE_000016,formal
CASE_000268,formal
CASE_000119,open
CASE_000553,formal
CASE_000010,formal
CASE_000770,open
CASE_000297,open
CASE_000602,formal
CASE_000454,open
CASE_000782,formal
CASE_000336,open
CASE_000439,formal
CASE_000358,open
CASE_000216,formal
CASE_000197,formal
CASE_000102,formal
CASE_000031,open
CASE_000253,formal
CASE_000497,formal
CASE_000745,formal
CASE_000075,formal
CASE_000243,open
CASE_000221,formal
CASE_000226,formal
CASE_000396,formal
CASE_000097,open
CASE_000100,formal
CASE_000110,formal
CASE_000298,open
CASE_000393,formal
CASE_000033,formal
CASE_000178,formal
CASE_000148,formal
CASE_000020,formal
CASE_000515,open
CASE_000327,formal
CASE_000718,open
CASE_000523,formal
CASE_000601,formal
CASE_000657,formal
CASE_000045,formal
CASE_000176,formal
CASE_000756,formal
CASE_000325,open
CASE_000161,formal
CASE_000576,open
CASE_000317,open
CASE_000526,formal
CASE_000026,open
CASE_000402,formal
CASE_000589,formal
CASE_000774,formal
CASE_000273,formal
CASE_000626,formal
CASE_000390,open
CASE_000259,formal
CASE_000765,formal
CASE_000303,formal
CASE_000137,formal
CASE_000122,formal
CASE_000795,formal
CASE_000673,formal
CASE_000187,formal
CASE_000702,open
CASE_000663,formal
CASE_000225,formal
CASE_000440,formal
CASE_000482,formal
CASE_000441,formal
CASE_000421,formal
CASE_000538,formal
CASE_000541,formal
CASE_000196,formal
CASE_000459,formal
CASE_000175,formal
CASE_000653,formal
CASE_000413,open
CASE_000309,formal
CASE_000794,formal
CASE_000711,formal
CASE_000366,open
CASE_000244,formal
CASE_000487,formal
CASE_000199,formal
CASE_000777,formal
CASE_000103,formal
CASE_000251,formal
CASE_000131,formal
CASE_000276,formal
CASE_000784,formal
CASE_000468,formal
CASE_000522,formal
CASE_000009,formal
CASE_000356,formal
CASE_000737,open
CASE_000168,formal
CASE_000456,formal
CASE_000267,formal
CASE_000480,formal
CASE_000091,formal
CASE_000787,formal
CASE_000531,formal
CASE_000185,open
CASE_000630,formal
CASE_000301,formal
CASE_000474,formal
CASE_000489,open
CASE_000050,open
CASE_000659,formal
CASE_000201,formal
CASE_000771,formal
CASE_000625,formal
CASE_000149,formal
CASE_000342,formal
CASE_000155,open
CASE_000098,open
CASE_000121,formal
CASE_000248,open
CASE_000452,formal
CASE_000705,open
CASE_000395,open
CASE_000616,formal
CASE_000038,formal
CASE_000503,formal
CASE_000514,formal
CASE_000654,open
CASE_000669,formal
CASE_000195,formal
CASE_000464,formal
CASE_000382,formal
CASE_000096,formal
CASE_000623,formal
CASE_000313,open
CASE_000557,formal
CASE_000687,formal
CASE_000308,open
CASE_000295,open
CASE_000060,formal
CASE_000323,formal
CASE_000073,formal
CASE_000274,formal
CASE_000182,formal
CASE_000597,formal
CASE_000341,open
CASE_000637,formal
CASE_000639,open
CASE_000311,formal
CASE_000537,formal
CASE_000700,formal
CASE_000222,open
CASE_000607,formal
CASE_000661,formal
CASE_000322,formal
CASE_000647,formal
CASE_000496,formal
CASE_000720,formal
CASE_000524,formal
CASE_000516,formal
CASE_000293,formal
CASE_000115,formal
CASE_000057,formal
CASE_000722,formal
CASE_000021,formal
CASE_000318,formal
CASE_000272,formal
CASE_000078,formal
CASE_000008,formal
CASE_000425,formal
CASE_000435,formal
CASE_000790,formal
CASE_000675,formal
CASE_000743,formal
CASE_000094,formal
CASE_000007,formal
CASE_000240,formal
CASE_000277,open
CASE_000117,open
CASE_000552,formal
CASE_000340,formal
CASE_000079,formal
CASE_000472,formal
CASE_000547,formal
CASE_000527,formal
CASE_000304,formal
CASE_000383,open
CASE_000258,formal
CASE_000231,formal
CASE_000493,open
CASE_000520,open
CASE_000631,formal
CASE_000556,open
CASE_000067,formal
CASE_000369,formal
CASE_000227,open
CASE_000633,formal
CASE_000344,formal
CASE_000570,formal
CASE_000167,open
CASE_000138,formal
CASE_000406,open
CASE_000505,formal
CASE_000124,formal
CASE_000680,formal
CASE_000090,open
CASE_000080,formal
CASE_000668,formal
CASE_000533,formal
CASE_000715,formal
CASE_000130,formal
CASE_000280,formal
CASE_000049,formal
CASE_000013,open
CASE_000151,open
CASE_000405,formal
CASE_000235,formal
CASE_000250,formal
CASE_000682,formal
CASE_000170,open
CASE_000386,formal
CASE_000036,formal
CASE_000698,formal
CASE_000034,formal
CASE_000135,formal
CASE_000729,formal
CASE_000179,formal
CASE_000334,formal
CASE_000127,formal
CASE_000467,formal
CASE_000741,formal
CASE_000651,formal
CASE_000147,formal
CASE_000245,formal
CASE_000649,formal
CASE_000463,formal
CASE_000746,formal
CASE_000750,formal
CASE_000230,formal
CASE_000539,formal
CASE_000046,formal
CASE_000246,open
CASE_000530,formal
CASE_000084,formal
CASE_000172,formal
CASE_000764,formal
CASE_000598,open
CASE_000335,formal
CASE_000569,formal
CASE_000465,formal
CASE_000223,open
CASE_000324,open
CASE_000204,open
CASE_000555,formal
CASE_000650,formal
CASE_000394,formal
CASE_000411,formal
CASE_000635,open
CASE_000662,open
CASE_000500,open
CASE_000761,formal
CASE_000484,open
CASE_000346,formal
CASE_000671,formal
CASE_000757,formal
CASE_000685,formal
CASE_000154,formal
CASE_000609,formal
CASE_000300,formal
CASE_000192,formal
CASE_000518,formal
CASE_000517,formal
CASE_000019,formal
CASE_000775,formal
CASE_000615,formal
CASE_000695,formal
CASE_000401,open
CASE_000012,formal
CASE_000721,formal
CASE_000415,open
CASE_000375,formal
CASE_000726,formal
CASE_000548,formal
CASE_000483,open
CASE_000512,formal
CASE_000018,formal
CASE_000780,formal
CASE_000499,formal
CASE_000591,formal
CASE_000027,open
CASE_000194,formal
CASE_000306,formal
CASE_000571,formal
CASE_000628,formal
CASE_000028,open
CASE_000506,open
CASE_000041,formal
CASE_000177,formal
CASE_000624,open
CASE_000412,open
CASE_000254,formal
CASE_000398,formal
CASE_000800,formal
CASE_000534,formal
CASE_000316,formal
CASE_000371,formal
CASE_000600,open
CASE_000455,formal
CASE_000605,formal
CASE_000153,formal
CASE_000271,formal
CASE_000621,formal
CASE_000679,formal
CASE_000666,formal
CASE_000181,formal
CASE_000030,formal
CASE_000453,formal
CASE_000451,formal
CASE_000434,open
CASE_000285,formal
CASE_000183,formal
CASE_000545,open
CASE_000436,formal
CASE_000353,formal
CASE_000279,formal
CASE_000430,formal
CASE_000634,formal
CASE_000791,formal
CASE_000749,formal
CASE_000528,formal
CASE_000588,formal
CASE_000403,formal
CASE_000270,formal
CASE_000288,formal
CASE_000352,formal
CASE_000611,formal
CASE_000286,formal
CASE_000606,formal
CASE_000136,formal
CASE_000627,formal
CASE_000559,open
CASE_000331,formal
CASE_000445,formal
CASE_000485,formal
CASE_000203,open
CASE_000701,formal
CASE_000275,formal
CASE_000772,open
CASE_000684,formal
CASE_000740,formal
CASE_000217,formal
CASE_000365,formal
CASE_000307,formal
CASE_000744,formal
CASE_000011,open
CASE_000608,open
CASE_000086,formal
CASE_000287,formal
CASE_000042,open
CASE_000513,formal
CASE_000419,open
CASE_000051,formal
CASE_000004,formal
CASE_000284,formal
CASE_000619,formal
CASE_000384,formal
CASE_000379,formal
CASE_000739,formal
CASE_000583,open
CASE_000688,formal
CASE_000388,formal
CASE_000391,formal
CASE_000381,formal
CASE_000332,formal
CASE_000082,open
CASE_000636,formal
CASE_000529,formal
CASE_000642,open
CASE_000372,formal
CASE_000159,formal
CASE_000755,formal
CASE_000219,formal
CASE_000152,formal
CASE_000380,open
CASE_000699,open
CASE_000200,formal
CASE_000420,formal
CASE_000738,open
CASE_000758,formal
CASE_000015,open
CASE_000123,formal
CASE_000269,formal
CASE_000173,formal
CASE_000581,open
CASE_000290,formal
CASE_000111,formal
CASE_000510,open
CASE_000064,formal
CASE_000716,open
CASE_000205,open
CASE_000087,formal
CASE_000247,formal
CASE_000145,formal
CASE_000092,formal
CASE_000326,formal
CASE_000389,open
CASE_000674,formal
CASE_000502,formal
CASE_000408,formal
CASE_000211,open
CASE_000709,formal
CASE_000494,formal
CASE_000212,formal
CASE_000320,formal
CASE_000728,open
CASE_000333,formal
CASE_000622,formal
CASE_000776,formal
CASE_000563,open
CASE_000120,formal
CASE_000643,formal
CASE_000329,formal
CASE_000139,formal
CASE_000364,formal
CASE_000193,open
CASE_000652,formal
CASE_000798,open
CASE_000140,formal
CASE_000370,formal
CASE_000162,open
