gap,mcb_mode,target,mechanic,year,scope,peak,trough,dimension,name,pnl,peak_nav,drawdown_contribution_percentage_points,contribution_basis,effect_in_actual_drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8016354.315796261,0.3869549914807951,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,strategy,SMV6,-371104.31168905005,31447450.81008368,1.1800775647292048,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,1895082.1285410773,30943379.953887016,-6.124354001939024,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-469332.4404038718,47808658.97010088,0.9816891971334906,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-469332.4404038718,47808658.97010088,0.9816891971334906,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,47452464.18962314,0.0115298137107502,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991937,49652386.54791581,0.022808644370121,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-157957.48504331202,49442982.43378721,0.3194740229411619,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,4072093.280627538,49652386.54791581,-8.201203534693876,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-25,2026-07-24,strategy,SMV6,-44181.904307759694,87729696.14097956,0.050361401271424,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-25,2026-07-24,strategy,SMV6,-44181.904307759694,87729696.14097956,0.050361401271424,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,8069737.107088719,0.0677987479594343,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,strategy,SMV6,4071.963947712,8106473.129372712,-0.0502310176414178,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,strategy,SMV6,-250480.9771608165,10956885.14747867,2.286060078109476,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,strategy,SMV6,-250480.9771608165,10956885.14747867,2.286060078109476,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,strategy,SMV6,-19629.96511756801,11912921.204048457,0.1647787707258318,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,strategy,SMV6,-19629.96511756801,11912921.204048457,0.1647787707258318,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,22965053.02598415,0.0238239411684945,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,strategy,SMV6,2298.4451782720244,23500722.72381266,-0.0097803169940091,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-12-31,strategy,SMV6,149686.6917064047,57609421.04114916,-0.2598302308913793,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-12-31,strategy,SMV6,149686.6917064047,57609421.04114916,-0.2598302308913793,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,strategy,SMV6,-55467.18655593609,68814418.78255425,0.0806040180782549,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G100,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,strategy,SMV6,-55467.18655593609,68814418.78255425,0.0806040180782549,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,7572933.739179498,0.4096124993049346,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,7572933.739179498,0.4096124993049346,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,strategy,SMV6,-90144.903932995,8400911.07408903,1.073037235342597,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,strategy,SMV6,-90144.903932995,8400911.07408903,1.073037235342597,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-06-26,strategy,SMV6,-82600.29463400002,9959617.557845242,0.8293520725495663,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-06-26,strategy,SMV6,-82600.29463400002,9959617.557845242,0.8293520725495663,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,9609218.846743034,0.0569367896546392,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991902,9747762.334777838,0.1161808821352435,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-29159.215648614296,9815131.749034507,0.2970843020164515,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,214460.60267084447,9747762.334777838,-2.2001008570520533,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-53616.571253696064,11349625.525656655,0.4724082845948696,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-53616.571253696064,11349625.525656655,0.4724082845948696,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,16331953.316491457,0.0334998552604201,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991891,16695188.231519897,0.0678341334757199,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-69863.89692078684,16863796.267931625,0.4142833310530486,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,772158.9529641005,16695188.231519897,-4.625038916939511,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-205924.14030751176,22660550.35533314,0.908734064612194,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-205924.14030751176,22660550.35533314,0.908734064612194,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,28309660.162474222,0.0193261971031229,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991937,29310685.151355036,0.0386379104088202,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-128352.29520809854,29574785.372782543,0.4339923133515627,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,2068255.8767288283,29310685.151355036,-7.056320471693963,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-467465.9614435116,44133400.98321441,1.0592112799584752,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-467465.9614435116,44133400.98321441,1.0592112799584752,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,48062986.63316641,0.0113833556869488,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991937,50503265.89072827,0.0224243641856655,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-158229.50950920006,51129929.96993336,0.3094655314455661,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,4932325.475758383,50503265.89072827,-9.76634953951343,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-25,2026-07-24,strategy,SMV6,-119341.02393585512,96427633.70348991,0.1237622653925354,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-25,2026-07-24,strategy,SMV6,-119341.02393585512,96427633.70348991,0.1237622653925354,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,8029800.211436611,0.0681359508102279,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,strategy,SMV6,4088.672738272002,8066438.260831027,-0.0506874608850074,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,strategy,SMV6,-248777.6632618244,10878505.988323426,2.2868734321500845,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,strategy,SMV6,-248777.6632618244,10878505.988323426,2.2868734321500845,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,strategy,SMV6,-10862.074617728016,11835292.4709374,0.0917769851856284,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G25,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,strategy,SMV6,-10862.074617728016,11835292.4709374,0.0917769851856284,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,22476145.260458488,0.0243421665896121,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,strategy,SMV6,2298.4451782720244,23001662.4812899,-0.0099925176284176,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-11-21,strategy,SMV6,-3033.6144796353074,56779894.83531419,0.005342761708936,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-11-21,strategy,SMV6,-3033.6144796353074,56779894.83531419,0.005342761708936,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,strategy,SMV6,-64643.22070332788,68223044.30497675,0.094752764790668,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,confirmation_tag,G100,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,strategy,SMV6,-64643.22070332788,68223044.30497675,0.094752764790668,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8009875.314080451,0.3872679903672245,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8009875.314080451,0.3872679903672245,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
