route,period,case_ids,chart_type,outcome_labels_visible,future_path_visible,viewed_before_hypothesis_freeze,purpose,exposure_status,image_path,image_sha256,viewed_at
MCB,TEMPORAL_EVALUATION,ACCOUNT_AGGREGATE,PRIOR_ACCOUNT_NAV,True,True,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/mcb_policy_nav_drawdown.png,,
MCB,DISCOVERY,V53-20160606-002401.SZ|V53-20160714-600410.SH,PRIOR_FULL_PATH_POSTMORTEM,True,True,True,PRIOR_V2_FAILURE_ANATOMY_EXCLUDED_FROM_BLIND_POOL,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/mcb_opposing_paths.png,,
ATRDR_BULL,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
ATRDR_FAST_BEAR,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
ATRDR_SLOW_BEAR,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
MCB,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
OGR,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
SMV6,DISCOVERY_AND_TEMPORAL_EVALUATION,AGGREGATE_TABLES_AND_PRIOR_CONTEXT,PRIOR_NONVISUAL_RESULTS,True,False,True,EXPOSURE_CONTEXT_NOT_A_NEW_IMAGE_VIEW,RESULT_EXPOSED,,,
ATRDR_BULL,DISCOVERY,CASE_68481|CASE_69928|CASE_26626|CASE_33334,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_price_only.png,fdf11c9ffbf9173604d5c732abc3a6ee2a1aba0c92c3fc8be209f23113499007,2026-09-07T16:52:04.791189+08:00
ATRDR_FAST_BEAR,DISCOVERY,CASE_20147|CASE_91313|CASE_51382|CASE_67658,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_price_only.png,0f1dee3620c4d09d18be3c0bfb3102e558060a20f0ff7bdbda5d91189b9e345e,2026-09-07T16:52:04.797089+08:00
ATRDR_SLOW_BEAR,DISCOVERY,CASE_53759|CASE_69097|CASE_44279|CASE_49233,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_price_only.png,819f29314047e7467d61c1539af7b8454ccfa44d1d6217b892b9395abecc7df8,2026-09-07T16:52:04.799125+08:00
MCB,DISCOVERY,CASE_18952|CASE_27120|CASE_39666|CASE_93625,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_price_only.png,f473b3dd2961b5289fb1e5e20750b36f6599ec93a617f4fae0d536cb12f31aff,2026-09-07T16:52:04.800850+08:00
OGR,DISCOVERY,CASE_31654|CASE_84370|CASE_09581|CASE_97306,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_price_only.png,5ce6c37d2df3b444a42edc84228804ef9bfc2d1ffbc6f864afb5430e344e30d4,2026-09-07T16:52:04.802461+08:00
SMV6,DISCOVERY,CASE_03919|CASE_67244|CASE_16196|CASE_34998,DECISION_TIME_BLIND_SNAPSHOT_PRICE_ONLY,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/SMV6_price_only.png,50ef6bf79889b3f138a38d07152914f1f375edfe3fcabbcf815458ab3e159505,2026-09-07T16:52:04.804036+08:00
ATRDR_BULL,DISCOVERY,CASE_68481|CASE_69928|CASE_26626|CASE_33334,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_price_volume.png,a07a4b41e81f5811cbaec059578d35732c56f166f8702790106dd843a36f3f36,2026-09-07T16:53:01.315644+08:00
ATRDR_FAST_BEAR,DISCOVERY,CASE_20147|CASE_91313|CASE_51382|CASE_67658,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_price_volume.png,620152c9cfb8bc041a4cad43461749a0ed29feea948d9840e6d6f17215f36750,2026-09-07T16:53:01.318001+08:00
ATRDR_SLOW_BEAR,DISCOVERY,CASE_53759|CASE_69097|CASE_44279|CASE_49233,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_price_volume.png,f6b7321809b647b977bf0aff9d611121833ddd9c23b69f94b92da8219450ccde,2026-09-07T16:53:01.319602+08:00
MCB,DISCOVERY,CASE_18952|CASE_27120|CASE_39666|CASE_93625,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_price_volume.png,e87bb965f59aac28d776236bde61d13e52bdb3d27e97472901926da6d59798e3,2026-09-07T16:53:01.321105+08:00
OGR,DISCOVERY,CASE_31654|CASE_84370|CASE_09581|CASE_97306,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_price_volume.png,ff0eca68395185c9a92027582b3b4acb8fd73a79a9746e8053419757ea587f13,2026-09-07T16:53:01.322581+08:00
SMV6,DISCOVERY,CASE_03919|CASE_67244|CASE_16196|CASE_34998,DECISION_TIME_BLIND_SNAPSHOT_PRICE_VOLUME,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/SMV6_price_volume.png,d8aa14c9068087bb184ca44e5b5582c7f9d8bd78ddcfc5657000654466ed3d4b,2026-09-07T16:53:01.324008+08:00
SMV6,DISCOVERY,CASE_03919|CASE_67244|CASE_16196|CASE_34998,DECISION_TIME_BLIND_SNAPSHOT_PRICE_RS,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/SMV6_price_rs.png,ab645b18523c422910a2a31f526dd75bc2a647206519c91fbc6b94d15cc1af20,2026-09-07T16:53:25.410959+08:00
ATRDR_BULL,DISCOVERY,CASE_68481|CASE_69928|CASE_26626|CASE_33334,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_BULL_full.png,609b9465fa7326ea63670d25bdd2ab9182bf79f6cd775dac4e63c293c8cfdc1f,2026-09-07T16:54:24.544128+08:00
ATRDR_FAST_BEAR,DISCOVERY,CASE_20147|CASE_91313|CASE_51382|CASE_67658,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_FAST_BEAR_full.png,5539bff6e625b6fe8eb0dcfa954d12bf7a39296f0c7f98791b81e2ee04274297,2026-09-07T16:54:24.545982+08:00
ATRDR_SLOW_BEAR,DISCOVERY,CASE_53759|CASE_69097|CASE_44279|CASE_49233,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/ATRDR_SLOW_BEAR_full.png,1d56845d25ae8368e96d691ceaf4fe4048902d12cb21d3f278fac018636dc18e,2026-09-07T16:54:24.547426+08:00
MCB,DISCOVERY,CASE_18952|CASE_27120|CASE_39666|CASE_93625,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/MCB_full.png,5e2c5ac9585e537b851509dae336a0c30c28f06c6d57166b34bda6ab68647542,2026-09-07T16:54:24.549707+08:00
OGR,DISCOVERY,CASE_31654|CASE_84370|CASE_09581|CASE_97306,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/OGR_full.png,76d04ac17393be31073de42a892980c2a3c2078e4b9c08f894c50ce31986bb6d,2026-09-07T16:54:24.551266+08:00
SMV6,DISCOVERY,CASE_03919|CASE_67244|CASE_16196|CASE_34998,DECISION_TIME_BLIND_SNAPSHOT_FULL,False,False,True,ACTUAL_ASTRA_IMAGE_INSPECTION_BEFORE_REVEAL,CASE_BLINDED_CONDITIONAL_ON_PRIOR_EXPOSURE,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/blind/SMV6_full.png,f4b2cb48f3b8d6a21b70b40c378713bc9f9012a02c454480c52fc646dbdc2297,2026-09-07T16:54:24.552971+08:00
ATRDR_BULL,DISCOVERY,POST_BC1D8486|POST_02E868A6|POST_0087930A|POST_02034575|POST_ACED51CA|POST_048FF325|POST_1FFA27E8|POST_008415B1|POST_2AF14701|POST_011E85CF|POST_6F29F6E9|POST_63445CCF,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/ATRDR_BULL_overview.png,7d4295cfa5ea397ef7f5862e063034894a63267f5a1d541e4e7dba33a9b7273a,2026-09-07T17:00:06.043337+08:00
ATRDR_FAST_BEAR,DISCOVERY,POST_7F87F385|POST_0E0034C7|POST_0F0CF594|POST_1E89692F|POST_BD5AAA62|POST_4C6C5393|POST_9D9D75ED|POST_2FC68B41|POST_68AE338B|POST_01A03992|POST_3509AB12|POST_82537D54,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/ATRDR_FAST_BEAR_overview.png,bace7246845e8379ef29f406eb70c0d67b6b3d1cfdd42dbc8d4dec19b1adced4,2026-09-07T17:00:06.044089+08:00
ATRDR_SLOW_BEAR,DISCOVERY,POST_5974B30E|POST_04E570EE|POST_063FB674|POST_0824B3B9|POST_09330EA6|POST_051EEAD8|POST_0562DEA6|POST_017F34AA|POST_BC397B7B|POST_0C34943A|POST_18AB6AAA|POST_14C9AE69,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/ATRDR_SLOW_BEAR_overview.png,76f6e35c5d183601760cd69670201b9424f4cecbf565e83b6e543c8094f400c9,2026-09-07T17:00:06.044731+08:00
MCB,DISCOVERY,POST_4D232C3F|POST_06E5E799|POST_2918F477|POST_2E191039|POST_9481C12D|POST_010096A1|POST_717F44FA|POST_041DC1AA|POST_03434BFB|POST_12053FDD|POST_43F5F42A|POST_69AB736B,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/MCB_overview.png,0605fac573089b995784fee47acb32c852089afd91cedf3cf7aec47cf0f07359,2026-09-07T17:00:06.045225+08:00
OGR,DISCOVERY,POST_B0A0C692|POST_0EDFF1F1|POST_96E78ADE|POST_B5690DC4|POST_54797AEB|POST_10142D7D|POST_DEABF39E|POST_05BA947B|POST_49880911|POST_185D16D3|POST_B11A1340,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/OGR_overview.png,aa28b5cbde77d23e9c305d4350ec75437cf8c744cf5925ca37236c2784798abc,2026-09-07T17:00:06.045828+08:00
SMV6,DISCOVERY,POST_96921B8F|POST_0D19CCD7|POST_796B7995,FULL_PATH_POSTMORTEM_PRICE_INDEX,True,True,True,ACTUAL_ASTRA_FAILURE_ANATOMY_AND_COUNTEREXAMPLES,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/SMV6_overview.png,0f9b8c822450202135d0ef6ed8857bcbe4b7bfed00200d658ed830937f9128f8,2026-09-07T17:00:06.046385+08:00
ATRDR_SLOW_BEAR,DISCOVERY,POST_5974B30E|POST_04E570EE,FULL_PATH_POSTMORTEM_FIVE_PANEL,True,True,True,ACTUAL_ASTRA_VOLUME_COUNTEREXAMPLE_INSPECTION,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/ATRDR_SLOW_BEAR_severe_loss.png,687d85db8407c1358e9ca6ffb96c0457cc19b157b2541cfb9e03ba963b991d0f,2026-09-07T17:00:06.046786+08:00
ATRDR_SLOW_BEAR,DISCOVERY,POST_063FB674|POST_0824B3B9,FULL_PATH_POSTMORTEM_FIVE_PANEL,True,True,True,ACTUAL_ASTRA_VOLUME_COUNTEREXAMPLE_INSPECTION,DISCOVERY_RESULT_REVEALED,/Volumes/quant/CY_quant_research/five_strategy_exit_risk_v1/20260907_visual_v1_01/postmortem/ATRDR_SLOW_BEAR_recovered_deep_winner.png,ef7e18b9e6d9b2464373a1d85d408e9a36187015b19baa6ed7abc53eef16210f,2026-09-07T17:00:06.047179+08:00
