route,case_id,variant,observation,relative_failure_score,confidence,alternative_explanation,information_changed_judgment,recorded_at
ATRDR_BULL,CASE_69928,price_volume,成交量同样收缩；没有解除价格图的不可区分性。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_BULL,CASE_26626,price_volume,最后反弹的量低于此前均值，方向含义不确定。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_BULL,CASE_33334,price_volume,反弹日量缩更明显，但前次急跌并非持续放量，保留弱排序。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_FAST_BEAR,CASE_20147,price_volume,早期跌幅后逐步缩量，与跌速收敛同时出现。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_FAST_BEAR,CASE_91313,price_volume,下降中的量较稳定，比配对缩量更少；仍不能解释为特定资金行为。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_FAST_BEAR,CASE_51382,price_volume,小幅恢复伴相对入场日量缓升，但未形成强放量。,0,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_FAST_BEAR,CASE_67658,price_volume,反弹后下降的末日缩量，可作正常回踩解释，未改变弱排序。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_SLOW_BEAR,CASE_53759,price_volume,最后几个交易日量逐渐减少。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_SLOW_BEAR,CASE_69097,price_volume,最后两次下降时相对量增加，末日超过此前均量；这是配对中新增的可见差异。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_SLOW_BEAR,CASE_44279,price_volume,回升日相对量约一以下，未提供明确额外判断。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
ATRDR_SLOW_BEAR,CASE_49233,price_volume,量缩与窄幅波动并存，没有明显放量失败证据。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
MCB,CASE_18952,price_volume,前两日相对量升高、末日缩量。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
MCB,CASE_27120,price_volume,量的轮廓与配对几乎一致；上影差异不能改称成交量信息。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
MCB,CASE_39666,price_volume,量逐渐缩小，与最后收盘趋平同时出现。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
MCB,CASE_93625,price_volume,同样缩量下行；量本身未区分配对。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
OGR,CASE_31654,price_volume,最新反弹时相对量由约0.7回到1，弱支持恢复观察。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
OGR,CASE_84370,price_volume,最后下跌阶段量缩，允许正常回踩这一反解释。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
OGR,CASE_09581,price_volume,持续下降同时缩量，未出现放量恶化。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
OGR,CASE_97306,price_volume,末日量相对此前略升但仍低于1，差异不足以改排序。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
SMV6,CASE_03919,price_volume,第三日量增加但收盘变化小，末日量回落；意义不明确。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
SMV6,CASE_67244,price_volume,量曾随回落增加，反弹日量减少；可解释为抛压减弱，也可解释为反弹弱。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
SMV6,CASE_16196,price_volume,相对入场日量明显增多但最近量回落，单一归一化基日影响很大。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
SMV6,CASE_34998,price_volume,末日量有所增加且价格下降，但幅度有限，维持低置信。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
SMV6,CASE_03919,price_rs,相对既有基准约零附近波动，没有明显独立弱势。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:25.382003+08:00
SMV6,CASE_67244,price_rs,相对路径也接近零，无法区分第一组。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:25.382003+08:00
SMV6,CASE_16196,price_rs,相对基准下降比第二组配对更明显，使仅凭绝对价格的较低失败排序失去依据；改为并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PRICE_PAIR_ORDER_BECOMES_TIE,2026-09-07T16:53:25.382003+08:00
SMV6,CASE_34998,price_rs,绝对价格更弱但相对表现接近基准；和配对并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PRICE_PAIR_ORDER_BECOMES_TIE,2026-09-07T16:53:25.382003+08:00
ATRDR_BULL,CASE_68481,full,仍在登记锚点上方；不能称为持续结构跌破。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_BULL,CASE_69928,full,最新收盘接近但仍高于锚点，与配对难区分。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_BULL,CASE_26626,full,低点曾接近锚点但最新收盘在其上；仍属弱恢复。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_BULL,CASE_33334,full,锚点较低且未被收盘跌破；给回差异主要是已有MFE信息。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_FAST_BEAR,CASE_20147,full,末次收盘略低于锚点，使先前按跌速收敛给出的较低排序失去明确性；改为并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
ATRDR_FAST_BEAR,CASE_91313,full,价格继续下降但尚在锚点附近上方；与已轻微跌破的配对并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
ATRDR_FAST_BEAR,CASE_51382,full,回升且锚点更低；没有结构失效观察。,0,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_FAST_BEAR,CASE_67658,full,反弹给回但仍高于锚点，不能把入场价跌破等同于结构跌破。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_SLOW_BEAR,CASE_53759,full,锚点在已见低点更下方，当前未跌破。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_SLOW_BEAR,CASE_69097,full,相对量增加且最新收盘接近锚点，但仍未持续收盘跌破。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_SLOW_BEAR,CASE_44279,full,从锚点上方回升，没有明确新结构差异。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
ATRDR_SLOW_BEAR,CASE_49233,full,锚点明显低于当前价格，低MFE并不等于结构失效。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
MCB,CASE_18952,full,末日收盘落到锚点下方，和有更长上影的配对形成不同弱项；改为并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
MCB,CASE_27120,full,末日接近锚点下方；单次接近或跌破不能确定失败。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
MCB,CASE_39666,full,最后两次收盘贴近或略低于锚点，使原先按跌速趋平的较低排序失去依据；改为并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
MCB,CASE_93625,full,虽连续走弱但尚高于其较低锚点，和配对并列不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
OGR,CASE_31654,full,反弹仍在原生目标以下且锚点上方；目标位置不能告诉未来能否达到。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
OGR,CASE_84370,full,始终没有明确收盘破锚，回落趋势仍是价格信息。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
OGR,CASE_09581,full,锚点仍远低于当前收盘，不能称为确认结构失败。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
OGR,CASE_97306,full,锚点更低，和配对均未触发结构形态；保持价格弱排序。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
SMV6,CASE_03919,full,仍在40日均值上方；尾盘关键bar变化接近零且有缺失，不改变判断。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
SMV6,CASE_67244,full,相对基准和尾盘摘要都没有提供清晰差异，仍并列不确定。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:54:24.541189+08:00
SMV6,CASE_16196,full,相对弱势仍可见，但均线未跌破；尾盘摘要幅度很小，不解除第二组的不确定。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
SMV6,CASE_34998,full,锚点下移并不代表新预测证据；尾盘关键bar没有稳定方向，维持并列。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,PAIR_ORDER_BECOMES_TIE,2026-09-07T16:54:24.541189+08:00
