symbol,expected_days,missing_days
600657.SH,8,
600658.SH,8,
600660.SH,8,
600661.SH,8,
600662.SH,8,
600663.SH,8,
600664.SH,8,
600665.SH,8,
600666.SH,8,
600667.SH,8,
600671.SH,8,
600673.SH,8,
600675.SH,8,
600676.SH,8,
600679.SH,8,
600682.SH,8,
600683.SH,8,
600684.SH,8,
600685.SH,8,
600686.SH,8,
600689.SH,8,
600690.SH,8,
600692.SH,8,
600693.SH,8,
600694.SH,8,
600697.SH,8,
600698.SH,8,
600699.SH,8,
600702.SH,8,
600703.SH,8,
600704.SH,8,
600706.SH,8,
600707.SH,8,
600708.SH,8,
600710.SH,8,
600712.SH,8,
600713.SH,8,
600715.SH,8,
600716.SH,8,
600717.SH,8,
600718.SH,8,
600720.SH,8,
600721.SH,8,
600724.SH,8,
600725.SH,8,
600728.SH,8,
600729.SH,8,
600730.SH,8,
600732.SH,8,
600733.SH,8,
600734.SH,8,
600735.SH,8,
600736.SH,8,
600737.SH,8,
600738.SH,8,
600739.SH,8,
600740.SH,8,
600741.SH,8,
600742.SH,8,
600743.SH,8,
600745.SH,8,
600748.SH,8,
600749.SH,8,
600750.SH,8,
600751.SH,8,
600753.SH,8,
600754.SH,8,
600755.SH,8,
600756.SH,8,
600757.SH,8,
600760.SH,8,
600761.SH,8,
600763.SH,8,
600764.SH,8,
600765.SH,8,
600769.SH,8,
600770.SH,8,
600771.SH,8,
600773.SH,8,
600774.SH,8,
600775.SH,8,
600776.SH,8,
600778.SH,8,
600779.SH,8,
600783.SH,8,
600785.SH,8,
600787.SH,8,
600789.SH,8,
600790.SH,8,
600791.SH,8,
600792.SH,8,
600793.SH,8,
600794.SH,8,
600796.SH,8,
600797.SH,8,
600798.SH,8,
600805.SH,8,
600807.SH,8,
600809.SH,8,
600812.SH,8,
600814.SH,8,
600815.SH,8,
600816.SH,8,
600817.SH,8,
600818.SH,8,
600820.SH,8,
600822.SH,8,
600824.SH,8,
600825.SH,8,2026-09-07|2026-09-08|2026-09-09|2026-09-10|2026-09-11|2026-09-14|2026-09-15|2026-09-16
600826.SH,8,
600827.SH,8,
600828.SH,8,
600829.SH,8,
600830.SH,8,
600831.SH,8,
600833.SH,8,
600834.SH,8,
600835.SH,8,
600838.SH,8,
600839.SH,8,
600841.SH,8,
600843.SH,8,
600845.SH,8,
600846.SH,8,
600847.SH,8,
600848.SH,8,
600850.SH,8,
600851.SH,8,
600853.SH,8,
600854.SH,8,
600855.SH,8,
600857.SH,8,
600858.SH,8,
600859.SH,8,
600860.SH,8,
600861.SH,8,
600862.SH,8,
600864.SH,8,
600865.SH,8,
600867.SH,8,
600869.SH,8,
600872.SH,8,
600874.SH,8,
600875.SH,8,
600877.SH,8,
600879.SH,8,
600880.SH,8,
600881.SH,8,
600882.SH,8,
600883.SH,8,
600884.SH,8,
600885.SH,8,
600887.SH,8,
600889.SH,8,
600892.SH,8,
600893.SH,8,
600894.SH,8,
600895.SH,8,
600897.SH,8,
600901.SH,8,
600906.SH,8,
600908.SH,8,
600909.SH,8,
600916.SH,8,
600918.SH,8,
600919.SH,8,
600926.SH,8,
600927.SH,8,
600928.SH,8,
600933.SH,8,
600936.SH,8,
600939.SH,8,
600941.SH,8,
600958.SH,8,
600959.SH,8,
600960.SH,8,
600962.SH,8,
600963.SH,8,
600965.SH,8,
600966.SH,8,
600967.SH,8,
600970.SH,8,
600973.SH,8,
600975.SH,8,
600976.SH,8,
600977.SH,8,
600980.SH,8,
600981.SH,8,
600983.SH,8,
600984.SH,8,
600986.SH,8,
600987.SH,8,
600990.SH,8,
600992.SH,8,
600993.SH,8,
600996.SH,8,
600997.SH,8,
600998.SH,8,
600999.SH,8,
601000.SH,8,
601002.SH,8,
601006.SH,8,
601007.SH,8,
601008.SH,8,
601009.SH,8,
601010.SH,8,
601011.SH,8,
601012.SH,8,
601015.SH,8,
601018.SH,8,
601019.SH,8,
601021.SH,8,
601022.SH,8,
601038.SH,8,
601058.SH,8,
601059.SH,8,2026-09-15|2026-09-16
601061.SH,8,
601066.SH,8,
601068.SH,8,
601077.SH,8,
601083.SH,8,
601086.SH,8,
601089.SH,8,
601096.SH,8,
601098.SH,8,
601099.SH,8,
601100.SH,8,
601106.SH,8,
601107.SH,8,
601108.SH,8,
601111.SH,8,
601116.SH,8,
601117.SH,8,
601118.SH,8,
601126.SH,8,
601127.SH,8,
601128.SH,8,
601133.SH,8,
601136.SH,8,
601138.SH,8,
601155.SH,8,
601156.SH,8,
601158.SH,8,
601162.SH,8,
601163.SH,8,
601166.SH,8,
601169.SH,8,
601177.SH,8,
601179.SH,8,
601186.SH,8,
601187.SH,8,
601188.SH,8,
601198.SH,8,2026-09-15|2026-09-16
601199.SH,8,
601200.SH,8,
601208.SH,8,
601211.SH,8,
601218.SH,8,
601222.SH,8,
601226.SH,8,
601228.SH,8,
601229.SH,8,
601231.SH,8,
601236.SH,8,
601238.SH,8,2026-09-14|2026-09-15|2026-09-16
601279.SH,8,
601288.SH,8,
601298.SH,8,
601311.SH,8,
601318.SH,8,
601319.SH,8,
601326.SH,8,
601328.SH,8,
601330.SH,8,
601333.SH,8,
601336.SH,8,
601339.SH,8,
601360.SH,8,
601366.SH,8,
601368.SH,8,
601369.SH,8,
601375.SH,8,
601377.SH,8,
601390.SH,8,
601398.SH,8,
601399.SH,8,
601456.SH,8,
601500.SH,8,
601512.SH,8,
601515.SH,8,
601518.SH,8,
601519.SH,8,
601528.SH,8,
601555.SH,8,
601566.SH,8,
601567.SH,8,
601577.SH,8,
601579.SH,8,
601588.SH,8,
601595.SH,8,
601598.SH,8,
601599.SH,8,
601601.SH,8,
601606.SH,8,
601607.SH,8,
601608.SH,8,
601611.SH,8,
601615.SH,8,
601616.SH,8,
601618.SH,8,
601628.SH,8,
601633.SH,8,
601658.SH,8,
601665.SH,8,
601668.SH,8,
601669.SH,8,
601688.SH,8,
601689.SH,8,
601696.SH,8,
601698.SH,8,
601700.SH,8,
601717.SH,8,
601718.SH,8,
601727.SH,8,
601728.SH,8,
601766.SH,8,
601777.SH,8,
601788.SH,8,
601789.SH,8,
601798.SH,8,
601799.SH,8,
601800.SH,8,
601801.SH,8,
601811.SH,8,
601816.SH,8,
601818.SH,8,
601825.SH,8,
601827.SH,8,
601828.SH,8,
601838.SH,8,
601858.SH,8,
601860.SH,8,
601865.SH,8,
601866.SH,8,
601868.SH,8,
601869.SH,8,
601872.SH,8,
601877.SH,8,
601878.SH,8,
601880.SH,8,
601881.SH,8,
601882.SH,8,
601886.SH,8,
601888.SH,8,
601890.SH,8,
601900.SH,8,
601901.SH,8,
601916.SH,8,
601919.SH,8,
601921.SH,8,
601928.SH,8,
601929.SH,8,
601933.SH,8,
601939.SH,8,
601949.SH,8,
601952.SH,8,
601956.SH,8,
601963.SH,8,
601965.SH,8,
601966.SH,8,
601968.SH,8,
601975.SH,8,
601988.SH,8,
601990.SH,8,
601995.SH,8,2026-09-15|2026-09-16
601996.SH,8,
601997.SH,8,
601998.SH,8,
601999.SH,8,
603000.SH,8,
603001.SH,8,
603005.SH,8,
603006.SH,8,
603007.SH,8,
603008.SH,8,
603009.SH,8,
603011.SH,8,
603012.SH,8,
603013.SH,8,
603015.SH,8,
603016.SH,8,
603017.SH,8,
603018.SH,8,
603019.SH,8,
603021.SH,8,
603022.SH,8,
603023.SH,8,
603025.SH,8,
603026.SH,8,
603027.SH,8,
603028.SH,8,
603029.SH,8,
603030.SH,8,
603031.SH,8,
603032.SH,8,
603033.SH,8,
603035.SH,8,
603036.SH,8,
603037.SH,8,
603038.SH,8,
603039.SH,8,
603040.SH,8,
603042.SH,8,
603043.SH,8,
603048.SH,8,
603050.SH,8,
603052.SH,8,
603055.SH,8,
603057.SH,8,
603058.SH,8,
603059.SH,8,
603060.SH,8,
603061.SH,8,
603063.SH,8,
603066.SH,8,
603068.SH,8,
603069.SH,8,
603070.SH,8,
603071.SH,8,
603075.SH,8,
603076.SH,8,
603081.SH,8,
603083.SH,8,
603085.SH,8,
603087.SH,8,
603088.SH,8,
603089.SH,8,
603090.SH,8,
603093.SH,8,
603095.SH,8,
603096.SH,8,
603097.SH,8,
603098.SH,8,
603099.SH,8,
603100.SH,8,
603101.SH,8,
603102.SH,8,
603103.SH,8,
603106.SH,8,
603107.SH,8,
603108.SH,8,
603109.SH,8,
603111.SH,8,
603112.SH,8,
603115.SH,8,
603116.SH,8,
603117.SH,8,
603118.SH,8,
603119.SH,8,
603121.SH,8,
603122.SH,8,
603123.SH,8,
603126.SH,8,
603127.SH,8,
603128.SH,8,
603129.SH,8,
603130.SH,8,
603131.SH,8,
603135.SH,8,
603136.SH,8,
603137.SH,8,
603138.SH,8,
603139.SH,8,
603150.SH,8,
603151.SH,8,
603153.SH,8,
603156.SH,8,
603158.SH,8,
603159.SH,8,2026-09-10|2026-09-11|2026-09-14|2026-09-15|2026-09-16
603160.SH,8,
603161.SH,8,
603162.SH,8,
603163.SH,8,
603165.SH,8,
603166.SH,8,
603167.SH,8,
603168.SH,8,
603169.SH,8,
603170.SH,8,
603171.SH,8,
603173.SH,8,
603176.SH,8,
603177.SH,8,
603178.SH,8,
603179.SH,8,
603180.SH,8,
603182.SH,8,
603183.SH,8,
603185.SH,8,
603186.SH,8,
603187.SH,8,
603189.SH,8,
603190.SH,8,
603191.SH,8,
603193.SH,8,
603195.SH,8,
603196.SH,8,
603197.SH,8,
603198.SH,8,
603199.SH,8,
603200.SH,8,
603201.SH,8,
603203.SH,8,
603206.SH,8,
603208.SH,8,
603209.SH,8,
603211.SH,8,
603212.SH,8,
603214.SH,8,
603215.SH,8,
603216.SH,8,
603218.SH,8,
603219.SH,8,
603220.SH,8,
603221.SH,8,
603222.SH,8,
603226.SH,8,
603228.SH,8,
603229.SH,8,
603230.SH,8,
603231.SH,8,
603232.SH,8,
603233.SH,8,
603236.SH,8,
603237.SH,8,
603238.SH,8,
603239.SH,8,
603258.SH,8,
603259.SH,8,
603261.SH,8,
603266.SH,8,
603267.SH,8,
603268.SH,8,
603269.SH,8,
603270.SH,8,
603272.SH,8,
603273.SH,8,
603275.SH,8,
603277.SH,8,
603278.SH,8,
603279.SH,8,
603280.SH,8,
603282.SH,8,
603283.SH,8,
603286.SH,8,
603288.SH,8,
603289.SH,8,
603290.SH,8,
603291.SH,8,
603296.SH,8,
603297.SH,8,
603298.SH,8,
603300.SH,8,
603301.SH,8,
603303.SH,8,
603305.SH,8,
603306.SH,8,
603307.SH,8,
603308.SH,8,
603309.SH,8,
603311.SH,8,
603313.SH,8,
603315.SH,8,
603316.SH,8,
603317.SH,8,
603319.SH,8,
603320.SH,8,
603321.SH,8,
603322.SH,8,
603323.SH,8,
603324.SH,8,
603326.SH,8,
603327.SH,8,
603328.SH,8,
603329.SH,8,
603330.SH,8,
603331.SH,8,
603333.SH,8,
603335.SH,8,
603336.SH,8,
603337.SH,8,
603338.SH,8,
603339.SH,8,
603345.SH,8,
603348.SH,8,
603351.SH,8,
603355.SH,8,
603356.SH,8,
603357.SH,8,
603358.SH,8,
603359.SH,8,
603363.SH,8,
603365.SH,8,
603366.SH,8,
603367.SH,8,
603368.SH,8,
603369.SH,8,
603373.SH,8,
603377.SH,8,
603378.SH,8,
603380.SH,8,
603383.SH,8,
603385.SH,8,
603386.SH,8,
603387.SH,8,
603389.SH,8,
603390.SH,8,
603392.SH,8,
603396.SH,8,
603398.SH,8,
603408.SH,8,
603416.SH,8,
603421.SH,8,
603429.SH,8,
603439.SH,8,
603444.SH,8,
603456.SH,8,
603458.SH,8,
603466.SH,8,
603477.SH,8,
603486.SH,8,
603488.SH,8,
603489.SH,8,
603496.SH,8,
603499.SH,8,
603500.SH,8,
603501.SH,8,
603506.SH,8,
603507.SH,8,
603508.SH,8,
603511.SH,8,
603515.SH,8,
603516.SH,8,
603517.SH,8,
603518.SH,8,
603519.SH,8,
603520.SH,8,
603528.SH,8,
603529.SH,8,
603530.SH,8,
603533.SH,8,
603535.SH,8,
603536.SH,8,
603538.SH,8,
603551.SH,8,
603556.SH,8,
603557.SH,8,
603558.SH,8,
603559.SH,8,
603565.SH,8,
603566.SH,8,
603567.SH,8,
603568.SH,8,
603569.SH,8,
603577.SH,8,
603578.SH,8,
603579.SH,8,
603580.SH,8,
603583.SH,8,
603586.SH,8,
603587.SH,8,
603588.SH,8,
603589.SH,8,
603590.SH,8,
603595.SH,8,
603596.SH,8,
603598.SH,8,
603600.SH,8,
603601.SH,8,
603602.SH,8,
603605.SH,8,
603606.SH,8,
603607.SH,8,
603608.SH,8,
603609.SH,8,
603610.SH,8,
603611.SH,8,
603613.SH,8,
603615.SH,8,
603617.SH,8,
603618.SH,8,
603626.SH,8,
603628.SH,8,
603629.SH,8,
603630.SH,8,
603633.SH,8,
603636.SH,8,
603637.SH,8,
603638.SH,8,
603648.SH,8,
603650.SH,8,
603655.SH,8,
603656.SH,8,
603657.SH,8,
603658.SH,8,
603659.SH,8,
603660.SH,8,
603661.SH,8,
603662.SH,8,
603665.SH,8,
603666.SH,8,
603667.SH,8,
603668.SH,8,
603669.SH,8,
603676.SH,8,
603677.SH,8,
603678.SH,8,
603679.SH,8,
603680.SH,8,
603682.SH,8,
603685.SH,8,
603686.SH,8,
603687.SH,8,
603690.SH,8,
603696.SH,8,
603697.SH,8,
603698.SH,8,
603699.SH,8,
603700.SH,8,
603701.SH,8,
603703.SH,8,
603707.SH,8,
603708.SH,8,
603709.SH,8,
603711.SH,8,
603712.SH,8,
603713.SH,8,
603716.SH,8,
603717.SH,8,
603718.SH,8,
603719.SH,8,
603721.SH,8,
603725.SH,8,
603726.SH,8,
603728.SH,8,
603729.SH,8,
603730.SH,8,
603733.SH,8,
603737.SH,8,
603738.SH,8,
603755.SH,8,
603757.SH,8,
603758.SH,8,
603759.SH,8,
603766.SH,8,
603767.SH,8,
603768.SH,8,
603773.SH,8,
603776.SH,8,
603777.SH,8,
603778.SH,8,
603779.SH,8,
603786.SH,8,
603787.SH,8,
603788.SH,8,
603789.SH,8,
603797.SH,8,
603800.SH,8,
603801.SH,8,
603803.SH,8,
603806.SH,8,
603808.SH,8,
603809.SH,8,
603811.SH,8,
603813.SH,8,
603815.SH,8,
603816.SH,8,
603817.SH,8,
603818.SH,8,
603819.SH,8,
603825.SH,8,
603828.SH,8,
603829.SH,8,
603833.SH,8,
603836.SH,8,
603838.SH,8,
603839.SH,8,
603843.SH,8,
603848.SH,8,
603855.SH,8,
603856.SH,8,
603858.SH,8,
603859.SH,8,
603860.SH,8,
603861.SH,8,
603863.SH,8,
603866.SH,8,
603868.SH,8,
603869.SH,8,
603871.SH,8,
603877.SH,8,
603879.SH,8,
603880.SH,8,
603881.SH,8,
603882.SH,8,
603883.SH,8,
603885.SH,8,
603886.SH,8,
603887.SH,8,
603888.SH,8,
603889.SH,8,
603890.SH,8,
603893.SH,8,
603895.SH,8,
603896.SH,8,
603897.SH,8,
603898.SH,8,
603899.SH,8,
603900.SH,8,
603901.SH,8,
603903.SH,8,
603906.SH,8,
603908.SH,8,
603909.SH,8,
603912.SH,8,
603915.SH,8,
603917.SH,8,
603918.SH,8,
603919.SH,8,
603920.SH,8,
603922.SH,8,
603926.SH,8,
603927.SH,8,
603928.SH,8,
603929.SH,8,
603933.SH,8,
603936.SH,8,
603939.SH,8,
603949.SH,8,
603950.SH,8,
603955.SH,8,
603956.SH,8,
603958.SH,8,
603959.SH,8,
603960.SH,8,
603966.SH,8,
603967.SH,8,
603969.SH,8,
603976.SH,8,
603982.SH,8,
603983.SH,8,
603985.SH,8,
603986.SH,8,
603987.SH,8,
603988.SH,8,
603989.SH,8,
603990.SH,8,
603991.SH,8,
603992.SH,8,
603997.SH,8,
603998.SH,8,
603999.SH,8,
605001.SH,8,
605003.SH,8,
605005.SH,8,
605007.SH,8,
605008.SH,8,
605009.SH,8,
605018.SH,8,
605050.SH,8,
605055.SH,8,
605056.SH,8,
605058.SH,8,
605060.SH,8,
605066.SH,8,
605068.SH,8,
605069.SH,8,
605080.SH,8,
605088.SH,8,
605089.SH,8,
605098.SH,8,
605099.SH,8,
605100.SH,8,
605108.SH,8,
605111.SH,8,
605116.SH,8,
605117.SH,8,
605118.SH,8,
605123.SH,8,
605128.SH,8,
605133.SH,8,
605136.SH,8,
605138.SH,8,
605151.SH,8,
605155.SH,8,
605167.SH,8,
605168.SH,8,
605177.SH,8,
605178.SH,8,
605179.SH,8,
605180.SH,8,
605183.SH,8,
605186.SH,8,
605188.SH,8,
605189.SH,8,
605196.SH,8,
605198.SH,8,
605199.SH,8,
605218.SH,8,
605222.SH,8,
605228.SH,8,
605255.SH,8,
605258.SH,8,
605259.SH,8,
605266.SH,8,
605268.SH,8,
605277.SH,8,
605286.SH,8,
605287.SH,8,
605288.SH,8,
605289.SH,8,
605296.SH,8,
605298.SH,8,
605299.SH,8,
605300.SH,8,
605303.SH,8,2026-09-14|2026-09-15|2026-09-16
605305.SH,8,
605318.SH,8,
605319.SH,8,
605333.SH,8,
605336.SH,8,
605337.SH,8,
605338.SH,8,
605339.SH,8,
605358.SH,8,
605365.SH,8,
605369.SH,8,
605377.SH,8,
605378.SH,8,
605388.SH,8,
605389.SH,8,
605398.SH,8,
605488.SH,8,
605499.SH,8,
605500.SH,8,
605507.SH,8,
605555.SH,8,
605567.SH,8,
605577.SH,8,2026-09-09|2026-09-10|2026-09-11
605588.SH,8,
605589.SH,8,
605598.SH,8,
605599.SH,8,
000001.SZ,8,
000002.SZ,8,
000006.SZ,8,
000007.SZ,8,
000008.SZ,8,
000009.SZ,8,
000010.SZ,8,
000011.SZ,8,
000014.SZ,8,
000016.SZ,8,2026-09-07|2026-09-08|2026-09-09|2026-09-10|2026-09-11|2026-09-14|2026-09-15|2026-09-16
000017.SZ,8,
000019.SZ,8,
000020.SZ,8,
000021.SZ,8,
000025.SZ,8,
000026.SZ,8,
000028.SZ,8,
000029.SZ,8,
000030.SZ,8,
000031.SZ,8,
000032.SZ,8,
000034.SZ,8,
000035.SZ,8,
000036.SZ,8,
000039.SZ,8,
000042.SZ,8,
000045.SZ,8,
000048.SZ,8,
000049.SZ,8,
000050.SZ,8,
000055.SZ,8,
000056.SZ,8,
000058.SZ,8,
000061.SZ,8,
000062.SZ,8,
000063.SZ,8,
000065.SZ,8,
000066.SZ,8,
000068.SZ,8,
000069.SZ,8,
000070.SZ,8,
000078.SZ,8,
000088.SZ,8,
000089.SZ,8,
000090.SZ,8,
000099.SZ,8,
000100.SZ,8,
000151.SZ,8,
000153.SZ,8,
000156.SZ,8,
000157.SZ,8,
000158.SZ,8,
000166.SZ,8,
000333.SZ,8,
000338.SZ,8,
000400.SZ,8,
000402.SZ,8,
000403.SZ,8,
000404.SZ,8,
000409.SZ,8,
000410.SZ,8,
000411.SZ,8,
000415.SZ,8,
000417.SZ,8,
000419.SZ,8,
000421.SZ,8,
000423.SZ,8,
000425.SZ,8,
000428.SZ,8,
000429.SZ,8,
000430.SZ,8,
000488.SZ,8,
000498.SZ,8,
000501.SZ,8,
000503.SZ,8,
000504.SZ,8,
000505.SZ,8,
000509.SZ,8,
000513.SZ,8,
000514.SZ,8,
000516.SZ,8,
000517.SZ,8,
000518.SZ,8,
000519.SZ,8,
000520.SZ,8,
000521.SZ,8,
000523.SZ,8,
000524.SZ,8,
000526.SZ,8,
000528.SZ,8,
000529.SZ,8,
000530.SZ,8,
000532.SZ,8,
000533.SZ,8,
000534.SZ,8,
000536.SZ,8,
000538.SZ,8,
000541.SZ,8,
000544.SZ,8,
000546.SZ,8,
000547.SZ,8,
000548.SZ,8,
000550.SZ,8,
000551.SZ,8,
000555.SZ,8,
000557.SZ,8,
000558.SZ,8,
000559.SZ,8,
000560.SZ,8,
000561.SZ,8,
000563.SZ,8,
000564.SZ,8,
000566.SZ,8,
000567.SZ,8,
000568.SZ,8,
000570.SZ,8,
000572.SZ,8,
000573.SZ,8,
000576.SZ,8,
000581.SZ,8,
000582.SZ,8,
000586.SZ,8,
000589.SZ,8,
000590.SZ,8,
000592.SZ,8,
000596.SZ,8,
000597.SZ,8,
000598.SZ,8,
000599.SZ,8,
000605.SZ,8,
000607.SZ,8,
000608.SZ,8,
000609.SZ,8,
000610.SZ,8,
000615.SZ,8,
000617.SZ,8,
000619.SZ,8,
000620.SZ,8,
000623.SZ,8,
000625.SZ,8,
000626.SZ,8,
000628.SZ,8,
000632.SZ,8,
000636.SZ,8,
000639.SZ,8,
000650.SZ,8,
000651.SZ,8,
000652.SZ,8,
000656.SZ,8,
000659.SZ,8,
000661.SZ,8,
000663.SZ,8,
000665.SZ,8,
000668.SZ,8,
000670.SZ,8,
000676.SZ,8,
000678.SZ,8,
000679.SZ,8,
000680.SZ,8,
000681.SZ,8,
000682.SZ,8,
000685.SZ,8,
000686.SZ,8,
000695.SZ,8,
000697.SZ,8,
000700.SZ,8,
000701.SZ,8,
000702.SZ,8,
000705.SZ,8,
000710.SZ,8,
000711.SZ,8,
000712.SZ,8,
000713.SZ,8,
000715.SZ,8,
000716.SZ,8,
000718.SZ,8,
000719.SZ,8,
000720.SZ,8,
000721.SZ,8,
000723.SZ,8,
000725.SZ,8,
000726.SZ,8,
000727.SZ,8,
