symbol,announcement_date,known_at,record_date,effective_date,pay_date,share_credit_date,cash_per_share_gross,share_multiplier,event_id
600016,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.118,1.0,cninfo:distribution:b1d5691396e5c01bdd40706e6af7f83a
600113,2026-09-09,2026-09-10,2026-09-15,2026-09-16,2026-09-16,,0.03,1.0,cninfo:distribution:80f82dab9def858bd44ab014247ef738
600114,2026-09-03,2026-09-04,2026-09-08,2026-09-09,2026-09-09,,0.1,1.0,cninfo:distribution:1e5d7f042f0fd4fd89958e3f0d4e5aae
600211,2026-09-07,2026-09-08,2026-09-14,2026-09-15,2026-09-15,,1.1460000000000001,1.0,cninfo:distribution:7ba4e9957c93aeeece1e337a4b0a95a7
600233,2026-09-10,2026-09-11,2026-09-15,2026-09-16,2026-09-16,,0.12,1.0,cninfo:distribution:583eca21bfe161ac25edf824e81cf28f
600332,2026-09-04,2026-09-05,2026-09-09,2026-09-10,2026-09-10,,0.3,1.0,cninfo:distribution:d79bb9a49d8130b8d33a3478ac0d6fdb
600738,2026-09-10,2026-09-11,2026-09-15,2026-09-16,2026-09-16,,0.01,1.0,cninfo:distribution:890fe206d108af6a2b2241e84c9a8c51
600750,2026-09-03,2026-09-04,2026-09-10,2026-09-11,2026-09-11,,0.5,1.0,cninfo:distribution:6f20f46e086a3b7d6a1bd93308ed3c1d
600805,2026-09-04,2026-09-05,2026-09-09,2026-09-10,2026-09-10,,0.03,1.0,cninfo:distribution:c42b2fe41cd10d247910687506df1021
600826,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.02,1.0,cninfo:distribution:6c13599b134a94de4ba400e0b1c27c41
600916,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.092,1.0,cninfo:distribution:9442fe939f8d860c68087735d998f17e
600999,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.16699999999999998,1.0,cninfo:distribution:d5dc077913904c24a7f4ff8613baacdd
601038,2026-09-10,2026-09-11,2026-09-15,2026-09-16,2026-09-16,,0.06962,1.0,cninfo:distribution:7801850b157903c32529db351fb742a6
601058,2026-09-05,2026-09-06,2026-09-10,2026-09-11,2026-09-11,,0.15,1.0,cninfo:distribution:51b097ce5836e24128997b2e2ddad220
601318,2026-09-03,2026-09-04,2026-09-09,2026-09-10,2026-09-10,,0.9800000000000001,1.0,cninfo:distribution:d28c4b0d40b4b0dfef0691e92626986e
601528,2026-09-03,2026-09-04,2026-09-09,2026-09-10,2026-09-10,,0.1,1.0,cninfo:distribution:dfdf4a30535e548c9233392df98e58f7
601728,2026-09-03,2026-09-04,2026-09-09,2026-09-10,2026-09-10,,0.16060000000000002,1.0,cninfo:distribution:d141b74c80d604777145744cd89cd666
601921,2026-09-01,2026-09-02,2026-09-04,2026-09-07,2026-09-07,,0.1,1.0,cninfo:distribution:c4d847520a83010af755c16c0973208e
603013,2026-09-09,2026-09-10,2026-09-15,2026-09-16,2026-09-16,,0.05,1.0,cninfo:distribution:d99656722f2a95e9fc3802538830e2fc
603036,2026-09-04,2026-09-05,2026-09-09,2026-09-10,2026-09-10,,0.08,1.0,cninfo:distribution:95d6460a4e47f7fca26681802f8f069f
603083,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.09,1.0,cninfo:distribution:08c17f92ccd1e323b941eec276ca63da
603165,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.6,1.0,cninfo:distribution:caa25015728184daf51d5a78ee75f447
603170,2026-09-08,2026-09-09,2026-09-11,2026-09-14,2026-09-14,,0.15,1.0,cninfo:distribution:24d4ebdd2220f138f8c143343ba8bffe
603367,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.21600000000000003,1.0,cninfo:distribution:64a63159a0ab19cbae06c61b695aeb8f
603456,2026-09-04,2026-09-05,2026-09-10,2026-09-11,2026-09-11,,0.1,1.0,cninfo:distribution:fdd851f4585c5014b3a3e175e29b56dc
603520,2026-09-07,2026-09-08,2026-09-10,2026-09-11,2026-09-11,,0.05,1.0,cninfo:distribution:64f66c0c6ef7837b06950477ec3acd01
603600,2026-09-05,2026-09-06,2026-09-10,2026-09-11,2026-09-11,,0.2,1.0,cninfo:distribution:c4c1b557a93399e9a3c2070292084d76
603697,2026-09-05,2026-09-06,2026-09-10,2026-09-11,2026-09-11,,0.27,1.0,cninfo:distribution:459bd211eb3e423fc056569681c8787c
603868,2026-09-04,2026-09-05,2026-09-10,2026-09-11,2026-09-11,,0.5,1.0,cninfo:distribution:ccd15a2285fac4fccb17f43706e2b55e
603883,2026-09-04,2026-09-05,2026-09-09,2026-09-10,2026-09-10,,0.3,1.0,cninfo:distribution:28ed46184eaaf54b824b737741bae1ad
603901,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.03,1.0,cninfo:distribution:ef70bd91776efe9ceccf669a16257161
603929,2026-09-09,2026-09-10,2026-09-14,2026-09-15,2026-09-15,,1.65,1.0,cninfo:distribution:f5b81558041cf0f2ce93749296874e29
603992,2026-09-03,2026-09-04,2026-09-08,2026-09-09,2026-09-09,,0.27999999999999997,1.0,cninfo:distribution:3b1be8ad197fe6d80e3f9b2f83d40f8f
603998,2026-09-07,2026-09-08,2026-09-10,2026-09-11,2026-09-11,,0.2,1.0,cninfo:distribution:8aa8bd4d3a25fe315d2b63642275044c
605098,2026-09-01,2026-09-02,2026-09-04,2026-09-07,2026-09-07,,1.2,1.0,cninfo:distribution:7afcf28ee8b3d1cce7765e5cc218dc45
605118,2026-09-05,2026-09-06,2026-09-10,2026-09-11,2026-09-11,,0.05,1.0,cninfo:distribution:dac39f30b73a2bd57f6501c0a4dc2a0b
605305,2026-09-05,2026-09-06,2026-09-10,2026-09-11,2026-09-11,,0.38,1.0,cninfo:distribution:afe260ba95a3a438782a09226789b5f7
605377,2026-09-03,2026-09-04,2026-09-08,2026-09-09,2026-09-09,,0.2,1.0,cninfo:distribution:da395d394c5fb4f1ef6b87959c6b00b2
605389,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.35,1.0,cninfo:distribution:44af7e551048916749b84e7cd6313777
