trade_date,family,nav,cash,positions,industries,industry_hhi,replay
2018-09-04,industry_diffusion_low_max,9156544.73203,12980.0217441,40,7,0.242586955033,same_plan_h20
2018-09-05,industry_diffusion_low_max,8969484.37675,12980.0217441,40,7,0.240896827939,same_plan_h20
2018-09-06,industry_diffusion_low_max,8902372.84882,12980.0217441,40,7,0.240945475077,same_plan_h20
2018-09-07,industry_diffusion_low_max,8913510.57685,12980.0217441,40,7,0.240692827647,same_plan_h20
2018-09-10,industry_diffusion_low_max,8846612.91415,12980.0217441,40,7,0.242200370686,same_plan_h20
2018-09-11,industry_diffusion_low_max,8776800.1654,64095.2058321,40,7,0.258965236011,same_plan_h20
2018-09-12,industry_diffusion_low_max,8782144.32429,64095.2058321,40,7,0.259207336641,same_plan_h20
2018-09-13,industry_diffusion_low_max,8878333.22436,64095.2058321,40,7,0.257874029345,same_plan_h20
2018-09-14,industry_diffusion_low_max,8816656.42549,64095.2058321,40,7,0.258910866142,same_plan_h20
2018-09-17,industry_diffusion_low_max,8724729.68501,64095.2058321,40,7,0.257888750531,same_plan_h20
2018-09-18,industry_diffusion_low_max,8834979.17654,61332.3712482,40,7,0.264315660736,same_plan_h20
2018-09-19,industry_diffusion_low_max,9045797.45154,61332.3712482,40,7,0.268091768158,same_plan_h20
2018-09-20,industry_diffusion_low_max,8994308.71577,61332.3712482,40,7,0.268960005789,same_plan_h20
2018-09-21,industry_diffusion_low_max,9103496.14005,61332.3712482,40,7,0.270280599939,same_plan_h20
2018-09-25,industry_diffusion_low_max,8983212.96466,61332.3712482,40,7,0.265552363632,same_plan_h20
2018-09-26,industry_diffusion_low_max,9061256.86185,4.65661287308e-10,40,6,0.287240140056,same_plan_h20
2018-09-27,industry_diffusion_low_max,8940148.41806,4.65661287308e-10,40,6,0.287547733833,same_plan_h20
2018-09-28,industry_diffusion_low_max,9025642.96967,4.65661287308e-10,40,6,0.288538318145,same_plan_h20
2018-10-08,industry_diffusion_low_max,8821613.18902,4.65661287308e-10,40,6,0.285517302224,same_plan_h20
2018-10-09,industry_diffusion_low_max,8906114.6529,4.65661287308e-10,40,6,0.285099693631,same_plan_h20
2018-10-10,industry_diffusion_low_max,8927103.80745,5.82076609135e-11,40,8,0.195577944868,same_plan_h20
2018-10-11,industry_diffusion_low_max,8450901.69281,5.82076609135e-11,40,8,0.198812308064,same_plan_h20
2018-10-12,industry_diffusion_low_max,8373391.71322,5.82076609135e-11,40,8,0.196130234306,same_plan_h20
2018-10-15,industry_diffusion_low_max,8170469.03705,5.82076609135e-11,40,8,0.193552304422,same_plan_h20
2018-10-16,industry_diffusion_low_max,8144031.48919,5.82076609135e-11,40,8,0.197355800241,same_plan_h20
2018-10-17,industry_diffusion_low_max,7982997.55624,17846.2645412,40,9,0.166138328849,same_plan_h20
2018-10-18,industry_diffusion_low_max,7491688.8401,17846.2645412,40,9,0.16400275355,same_plan_h20
2018-10-19,industry_diffusion_low_max,7598396.98807,17846.2645412,40,9,0.163344984616,same_plan_h20
2018-10-22,industry_diffusion_low_max,7941481.69605,17846.2645412,40,9,0.163290205714,same_plan_h20
2018-10-23,industry_diffusion_low_max,7838609.41577,17846.2645412,40,9,0.16217530857,same_plan_h20
2018-10-24,industry_diffusion_low_max,7809481.69722,75263.3657034,40,10,0.114066903528,same_plan_h20
2018-10-25,industry_diffusion_low_max,7806702.93485,75263.3657034,40,10,0.114042169722,same_plan_h20
2018-10-26,industry_diffusion_low_max,7811271.54082,75263.3657034,40,10,0.113835715619,same_plan_h20
2018-10-29,industry_diffusion_low_max,7728917.76353,75263.3657034,40,10,0.11374115147,same_plan_h20
2018-10-30,industry_diffusion_low_max,7772624.93692,75263.3657034,40,10,0.113677090912,same_plan_h20
2018-10-31,industry_diffusion_low_max,7867430.98236,22605.4985531,40,9,0.144599564685,same_plan_h20
2018-11-01,industry_diffusion_low_max,7894626.5087,22605.4985531,40,9,0.14445908689,same_plan_h20
2018-11-02,industry_diffusion_low_max,8084713.09884,22605.4985531,40,9,0.144835337436,same_plan_h20
2018-11-05,industry_diffusion_low_max,8159089.17124,22605.4985531,40,9,0.144769217363,same_plan_h20
2018-11-06,industry_diffusion_low_max,8131245.78734,22605.4985531,40,9,0.144597350774,same_plan_h20
2018-11-07,industry_diffusion_low_max,8039561.56893,0,40,6,0.272898742536,same_plan_h20
2018-11-08,industry_diffusion_low_max,7975073.80945,0,40,6,0.272953207629,same_plan_h20
2018-11-09,industry_diffusion_low_max,7908018.66757,0,40,6,0.275101922516,same_plan_h20
2018-11-12,industry_diffusion_low_max,8050140.77248,0,40,6,0.276516669186,same_plan_h20
2018-11-13,industry_diffusion_low_max,8203997.60605,0,40,6,0.279354023242,same_plan_h20
2018-11-14,industry_diffusion_low_max,8111626.61369,73644.1202347,40,11,0.278353763851,same_plan_h20
2018-11-15,industry_diffusion_low_max,8347695.39043,73644.1202347,40,11,0.282076229715,same_plan_h20
2018-11-16,industry_diffusion_low_max,8570966.57202,73644.1202347,40,11,0.284293522404,same_plan_h20
2018-11-19,industry_diffusion_low_max,8780705.65486,73644.1202347,40,11,0.291035616181,same_plan_h20
2018-11-20,industry_diffusion_low_max,8463626.05792,73644.1202347,40,11,0.287170939169,same_plan_h20
2018-11-21,industry_diffusion_low_max,8556484.00399,2.32830643654e-10,40,12,0.286392751999,same_plan_h20
2018-11-22,industry_diffusion_low_max,8468714.75869,2.32830643654e-10,40,12,0.284247371626,same_plan_h20
2018-11-23,industry_diffusion_low_max,8097332.80804,2.32830643654e-10,40,12,0.283232352234,same_plan_h20
2018-11-26,industry_diffusion_low_max,8095144.61984,2.32830643654e-10,40,12,0.283114776447,same_plan_h20
2018-11-27,industry_diffusion_low_max,8118753.69575,2.32830643654e-10,40,12,0.282079925261,same_plan_h20
2018-11-28,industry_diffusion_low_max,8265112.829,22616.6529761,40,19,0.103975885512,same_plan_h20
2018-11-29,industry_diffusion_low_max,8056481.73804,22616.6529761,40,19,0.101900106839,same_plan_h20
2018-11-30,industry_diffusion_low_max,8188258.92103,22616.6529761,40,19,0.102474607021,same_plan_h20
2018-12-03,industry_diffusion_low_max,8452290.29041,22616.6529761,40,19,0.101917304692,same_plan_h20
2018-12-04,industry_diffusion_low_max,8510054.94899,22616.6529761,40,19,0.102060418161,same_plan_h20
2018-12-05,industry_diffusion_low_max,8442477.05089,13069.3400336,40,20,0.0622748714287,same_plan_h20
2018-12-06,industry_diffusion_low_max,8267887.65493,13069.3400336,40,20,0.0623759779249,same_plan_h20
2018-12-07,industry_diffusion_low_max,8307653.20035,13069.3400336,40,20,0.0621307036945,same_plan_h20
2018-12-10,industry_diffusion_low_max,8232192.22465,13069.3400336,40,20,0.0622206713232,same_plan_h20
2018-12-11,industry_diffusion_low_max,8289236.61916,13069.3400336,40,20,0.062116194078,same_plan_h20
2018-12-12,industry_diffusion_low_max,8299027.82547,-3.49245965481e-10,40,20,0.0759133003719,same_plan_h20
2018-12-13,industry_diffusion_low_max,8415880.50091,-3.49245965481e-10,40,20,0.076248834706,same_plan_h20
2018-12-14,industry_diffusion_low_max,8226449.13757,-3.49245965481e-10,40,20,0.0765338503198,same_plan_h20
2018-12-17,industry_diffusion_low_max,8227992.59385,-3.49245965481e-10,40,20,0.0772246771198,same_plan_h20
2018-12-18,industry_diffusion_low_max,8156498.25966,-3.49245965481e-10,40,20,0.0769859923719,same_plan_h20
2018-12-19,industry_diffusion_low_max,8052453.27421,-3.49245965481e-10,40,12,0.188062522487,same_plan_h20
2018-12-20,industry_diffusion_low_max,8069082.1224,-3.49245965481e-10,40,12,0.184896649187,same_plan_h20
2018-12-21,industry_diffusion_low_max,7981316.78391,-3.49245965481e-10,40,12,0.184453365093,same_plan_h20
2018-12-24,industry_diffusion_low_max,8083468.31538,-3.49245965481e-10,40,12,0.183691554698,same_plan_h20
2018-12-25,industry_diffusion_low_max,8010683.3806,-3.49245965481e-10,40,12,0.18411968471,same_plan_h20
2018-12-26,industry_diffusion_low_max,7973507.64277,133660.501657,40,11,0.170334402019,same_plan_h20
2018-12-27,industry_diffusion_low_max,7896007.02591,133660.501657,40,11,0.170749361178,same_plan_h20
2018-12-28,industry_diffusion_low_max,7912222.59872,133660.501657,40,11,0.171469696359,same_plan_h20
2019-01-02,industry_diffusion_low_max,7859801.90936,133660.501657,40,11,0.17078273608,same_plan_h20
2019-01-03,industry_diffusion_low_max,7742941.0197,133660.501657,40,11,0.168270415078,same_plan_h20
2019-01-04,industry_diffusion_low_max,7893086.10401,155080.47008,40,8,0.165407429403,same_plan_h20
2019-01-07,industry_diffusion_low_max,7984379.93074,155080.47008,40,8,0.165430224394,same_plan_h20
2019-01-08,industry_diffusion_low_max,7922580.71605,155080.47008,40,8,0.165502969963,same_plan_h20
2019-01-09,industry_diffusion_low_max,7960424.26205,155080.47008,40,8,0.166330300275,same_plan_h20
2019-01-10,industry_diffusion_low_max,7977188.00546,155080.47008,40,8,0.166223787873,same_plan_h20
2019-01-11,industry_diffusion_low_max,8055411.56248,167778.827173,40,9,0.158293533858,same_plan_h20
2019-01-14,industry_diffusion_low_max,8011301.31637,167778.827173,40,9,0.157868286443,same_plan_h20
2019-01-15,industry_diffusion_low_max,8244401.01125,167778.827173,40,9,0.160258871477,same_plan_h20
2019-01-16,industry_diffusion_low_max,8142621.49172,167778.827173,40,9,0.159627622233,same_plan_h20
2019-01-17,industry_diffusion_low_max,8087168.92556,167778.827173,40,9,0.159578023292,same_plan_h20
2019-01-18,industry_diffusion_low_max,8137462.7177,106076.383253,40,9,0.186323582121,same_plan_h20
2019-01-21,industry_diffusion_low_max,8189024.39103,106076.383253,40,9,0.184965161159,same_plan_h20
2019-01-22,industry_diffusion_low_max,8168647.30763,106076.383253,40,9,0.186726761443,same_plan_h20
2019-01-23,industry_diffusion_low_max,8245993.42002,106076.383253,40,9,0.188669393986,same_plan_h20
2019-01-24,industry_diffusion_low_max,8309945.16863,106076.383253,40,9,0.189737736024,same_plan_h20
2019-01-25,industry_diffusion_low_max,8320305.46489,90156.9581315,40,8,0.192236151526,same_plan_h20
2019-01-28,industry_diffusion_low_max,8365336.86688,90156.9581315,40,8,0.19482807875,same_plan_h20
2019-01-29,industry_diffusion_low_max,8285633.86523,90156.9581315,40,8,0.196919817868,same_plan_h20
2019-01-30,industry_diffusion_low_max,8224714.01611,90156.9581315,40,8,0.195507115446,same_plan_h20
2019-01-31,industry_diffusion_low_max,8210061.12409,90156.9581315,40,8,0.196801782172,same_plan_h20
2019-02-01,industry_diffusion_low_max,8342191.44749,1.7462298274e-10,40,10,0.150932580425,same_plan_h20
2019-02-11,industry_diffusion_low_max,8644968.13273,1.7462298274e-10,40,10,0.154661895912,same_plan_h20
2019-02-12,industry_diffusion_low_max,8730585.9408,1.7462298274e-10,40,10,0.154963486697,same_plan_h20
2019-02-13,industry_diffusion_low_max,8846434.72095,1.7462298274e-10,40,10,0.153483762894,same_plan_h20
2019-02-14,industry_diffusion_low_max,8873617.74182,1.7462298274e-10,40,10,0.153252220336,same_plan_h20
2019-02-15,industry_diffusion_low_max,8895324.4551,2.61934474111e-10,40,12,0.165902428706,same_plan_h20
2019-02-18,industry_diffusion_low_max,9316770.61114,2.61934474111e-10,40,12,0.167236166385,same_plan_h20
2019-02-19,industry_diffusion_low_max,9331272.13279,2.61934474111e-10,40,12,0.166874713823,same_plan_h20
2019-02-20,industry_diffusion_low_max,9483697.15779,2.61934474111e-10,40,12,0.172102257496,same_plan_h20
2019-02-21,industry_diffusion_low_max,9636818.70138,2.61934474111e-10,40,12,0.176105493052,same_plan_h20
2019-02-22,industry_diffusion_low_max,9887215.59319,512851.061582,40,15,0.104571238907,same_plan_h20
2019-02-25,industry_diffusion_low_max,10381101.3323,512851.061582,40,15,0.105611779204,same_plan_h20
2019-02-26,industry_diffusion_low_max,10359029.1565,512851.061582,40,15,0.104596546465,same_plan_h20
2019-02-27,industry_diffusion_low_max,10314411.642,512851.061582,40,15,0.104382219892,same_plan_h20
2019-02-28,industry_diffusion_low_max,10309954.5606,512851.061582,40,15,0.104248867247,same_plan_h20
2019-03-01,industry_diffusion_low_max,10465298.5619,499384.208779,40,16,0.0988180918461,same_plan_h20
2019-03-04,industry_diffusion_low_max,10702358.1511,499384.208779,40,16,0.0994535033143,same_plan_h20
2019-03-05,industry_diffusion_low_max,10898416.9326,499384.208779,40,16,0.0995809650019,same_plan_h20
2019-03-06,industry_diffusion_low_max,11109175.9058,499384.208779,40,16,0.0985700483497,same_plan_h20
2019-03-07,industry_diffusion_low_max,11110969.5527,499384.208779,40,16,0.0982408242564,same_plan_h20
2019-03-08,industry_diffusion_low_max,10547650.299,154355.247858,40,16,0.102534572852,same_plan_h20
2019-03-11,industry_diffusion_low_max,10877492.9455,154355.247858,40,16,0.102055943065,same_plan_h20
2019-03-12,industry_diffusion_low_max,10946843.4638,154355.247858,40,16,0.102196023522,same_plan_h20
2019-03-13,industry_diffusion_low_max,10864025.4846,154355.247858,40,16,0.103250332039,same_plan_h20
2019-03-14,industry_diffusion_low_max,10644963.618,154355.247858,40,16,0.102839297187,same_plan_h20
2019-03-15,industry_diffusion_low_max,10841532.8534,-2.91038304567e-10,40,20,0.0904951531244,same_plan_h20
2019-03-18,industry_diffusion_low_max,11148126.5928,-2.91038304567e-10,40,20,0.0913425629787,same_plan_h20
2019-03-19,industry_diffusion_low_max,11108052.348,-2.91038304567e-10,40,20,0.0916534427701,same_plan_h20
2019-03-20,industry_diffusion_low_max,11169114.2185,-2.91038304567e-10,40,20,0.0923218775701,same_plan_h20
2019-03-21,industry_diffusion_low_max,11300252.9946,-2.91038304567e-10,40,20,0.0928111278613,same_plan_h20
2019-03-22,industry_diffusion_low_max,11379588.7598,668.125495148,40,16,0.13867996781,same_plan_h20
2019-03-25,industry_diffusion_low_max,11282749.8916,668.125495148,40,16,0.138174901863,same_plan_h20
2019-03-26,industry_diffusion_low_max,11068392.2322,668.125495148,40,16,0.13881704856,same_plan_h20
2019-03-27,industry_diffusion_low_max,11236501.7588,668.125495148,40,16,0.139773633948,same_plan_h20
2019-03-28,industry_diffusion_low_max,11132072.3621,668.125495148,40,16,0.138811331974,same_plan_h20
2019-03-29,industry_diffusion_low_max,11445612.2755,44803.8026437,40,20,0.0858791790739,same_plan_h20
2019-04-01,industry_diffusion_low_max,11758378.0627,44803.8026437,40,20,0.0860124107582,same_plan_h20
2019-04-02,industry_diffusion_low_max,11767994.1548,44803.8026437,40,20,0.085999459298,same_plan_h20
2019-04-03,industry_diffusion_low_max,11884834.247,44803.8026437,40,20,0.0863776271392,same_plan_h20
2019-04-04,industry_diffusion_low_max,11890132.614,44803.8026437,40,20,0.0865698043888,same_plan_h20
2019-04-08,industry_diffusion_low_max,11884552.4614,5.82076609135e-11,41,20,0.0635952232823,same_plan_h20
2019-04-09,industry_diffusion_low_max,12036231.154,314155.90554,40,20,0.063797236875,same_plan_h20
2019-04-10,industry_diffusion_low_max,12215572.3169,314155.90554,40,20,0.0638623627376,same_plan_h20
2019-04-11,industry_diffusion_low_max,12014828.1758,314155.90554,40,20,0.0638984456922,same_plan_h20
2019-04-12,industry_diffusion_low_max,11950084.0232,314155.90554,40,20,0.0639090710895,same_plan_h20
2019-04-15,industry_diffusion_low_max,11861271.5351,75778.4235967,40,17,0.0722588874279,same_plan_h20
2019-04-16,industry_diffusion_low_max,12068981.7398,75778.4235967,40,17,0.0721469134594,same_plan_h20
2019-04-17,industry_diffusion_low_max,12108620.0256,75778.4235967,40,17,0.0717875936794,same_plan_h20
2019-04-18,industry_diffusion_low_max,12058440.8699,75778.4235967,40,17,0.0723095222702,same_plan_h20
2019-04-19,industry_diffusion_low_max,12179198.8743,75778.4235967,40,17,0.0727576212014,same_plan_h20
2019-04-22,industry_diffusion_low_max,11976039.5764,171170.353391,40,20,0.0642287903413,same_plan_h20
2019-04-23,industry_diffusion_low_max,11823770.0505,171170.353391,40,20,0.0642265259786,same_plan_h20
2019-04-24,industry_diffusion_low_max,11866619.0668,171170.353391,40,20,0.0640325911648,same_plan_h20
2019-04-25,industry_diffusion_low_max,11440510.4972,171170.353391,40,20,0.0640995635117,same_plan_h20
2019-04-26,industry_diffusion_low_max,11230948.9682,171170.353391,40,20,0.0642562771604,same_plan_h20
2019-04-29,industry_diffusion_low_max,10940959.647,206606.124101,40,19,0.0665618903707,same_plan_h20
2019-04-30,industry_diffusion_low_max,11111491.5111,206606.124101,40,19,0.0667757927823,same_plan_h20
2019-05-06,industry_diffusion_low_max,10370990.3656,206606.124101,40,19,0.0666859531876,same_plan_h20
2019-05-07,industry_diffusion_low_max,10607031.1137,452611.274794,39,19,0.0678958718726,same_plan_h20
2019-05-08,industry_diffusion_low_max,10647661.9665,452611.274794,39,19,0.0672995491508,same_plan_h20
2019-05-09,industry_diffusion_low_max,10465046.356,279387.547567,39,17,0.0825914061972,same_plan_h20
2019-05-10,industry_diffusion_low_max,10750665.5835,279387.547567,39,17,0.0825714775976,same_plan_h20
2019-05-13,industry_diffusion_low_max,10733286.1545,279387.547567,39,17,0.0822254762668,same_plan_h20
2019-05-14,industry_diffusion_low_max,10627925.5883,279387.547567,39,17,0.0828321291598,same_plan_h20
2019-05-15,industry_diffusion_low_max,10878553.9656,279387.547567,39,17,0.0830098712398,same_plan_h20
2019-05-16,industry_diffusion_low_max,10946958.9329,262148.333993,39,14,0.127736771421,same_plan_h20
2019-05-17,industry_diffusion_low_max,10656621.8004,262148.333993,39,14,0.127864796548,same_plan_h20
2019-05-20,industry_diffusion_low_max,10589430.1359,262148.333993,39,14,0.126564401118,same_plan_h20
2019-05-21,industry_diffusion_low_max,10823394.4796,262148.333993,39,14,0.126433879903,same_plan_h20
2019-05-22,industry_diffusion_low_max,10732458.3383,262148.333993,39,14,0.126757054423,same_plan_h20
2019-05-23,industry_diffusion_low_max,10522147.9783,71176.2381685,40,9,0.188069784864,same_plan_h20
2019-05-24,industry_diffusion_low_max,10431478.3843,71176.2381685,40,9,0.186541051315,same_plan_h20
2019-05-27,industry_diffusion_low_max,10625054.9064,71176.2381685,40,9,0.18578974404,same_plan_h20
2019-05-28,industry_diffusion_low_max,10913891.0581,71176.2381685,40,9,0.187138077981,same_plan_h20
2019-05-29,industry_diffusion_low_max,11004135.7242,71176.2381685,40,9,0.187154773528,same_plan_h20
2019-05-30,industry_diffusion_low_max,11097038.6672,420197.031285,38,6,0.225541071362,same_plan_h20
2019-05-31,industry_diffusion_low_max,11095551.7879,755657.152248,37,6,0.235124534997,same_plan_h20
2019-06-03,industry_diffusion_low_max,11007897.23,755657.152248,37,6,0.23620973968,same_plan_h20
2019-06-04,industry_diffusion_low_max,10826926.2737,1247603.39822,35,6,0.240066628637,same_plan_h20
2019-06-05,industry_diffusion_low_max,10825125.1658,1247603.39822,35,6,0.241537468433,same_plan_h20
2019-06-06,industry_diffusion_low_max,10725229.0876,695209.602505,37,7,0.194198284189,same_plan_h20
2019-06-10,industry_diffusion_low_max,10865649.5516,695209.602505,37,7,0.194943794586,same_plan_h20
2019-06-11,industry_diffusion_low_max,11276487.0194,695209.602505,37,7,0.192318260523,same_plan_h20
2019-06-12,industry_diffusion_low_max,11301836.1192,695209.602505,37,7,0.191015423496,same_plan_h20
2019-06-13,industry_diffusion_low_max,11482709.65,695209.602505,37,7,0.190688376994,same_plan_h20
2019-06-14,industry_diffusion_low_max,11237002.2207,268649.772994,38,6,0.242264721936,same_plan_h20
2019-06-17,industry_diffusion_low_max,11228110.4873,268649.772994,38,6,0.243862310256,same_plan_h20
2019-06-18,industry_diffusion_low_max,11114073.7267,268649.772994,38,6,0.242220844262,same_plan_h20
2019-06-19,industry_diffusion_low_max,11127027.622,268649.772994,38,6,0.241961673337,same_plan_h20
2019-06-20,industry_diffusion_low_max,11233651.216,268649.772994,38,6,0.242417317491,same_plan_h20
2019-06-21,industry_diffusion_low_max,11359859.0804,5.82076609135e-11,40,7,0.313350857128,same_plan_h20
2019-06-24,industry_diffusion_low_max,11459739.6542,5.82076609135e-11,40,7,0.309066073541,same_plan_h20
2019-06-25,industry_diffusion_low_max,11195297.8731,5.82076609135e-11,40,7,0.310934679782,same_plan_h20
2019-06-26,industry_diffusion_low_max,11114457.4053,5.82076609135e-11,40,7,0.31199973524,same_plan_h20
2019-06-27,industry_diffusion_low_max,11152196.922,5.82076609135e-11,40,7,0.312562597592,same_plan_h20
2019-06-28,industry_diffusion_low_max,11069796.9773,127900.700421,40,11,0.285257537103,same_plan_h20
2019-07-01,industry_diffusion_low_max,11297948.405,127900.700421,40,11,0.287028979313,same_plan_h20
2019-07-02,industry_diffusion_low_max,11288006.9836,127900.700421,40,11,0.288597031531,same_plan_h20
2019-07-03,industry_diffusion_low_max,11107794.5148,127900.700421,40,11,0.289158531226,same_plan_h20
2019-07-04,industry_diffusion_low_max,11038792.7556,127900.700421,40,11,0.291086942238,same_plan_h20
2019-07-05,industry_diffusion_low_max,11106755.5203,251007.191167,40,13,0.176236804637,same_plan_h20
2019-07-08,industry_diffusion_low_max,10780796.5419,251007.191167,40,13,0.173412351414,same_plan_h20
2019-07-09,industry_diffusion_low_max,10893247.1801,251007.191167,40,13,0.175905572924,same_plan_h20
2019-07-10,industry_diffusion_low_max,10704946.2177,251007.191167,40,13,0.173835852683,same_plan_h20
2019-07-11,industry_diffusion_low_max,10710969.6713,251007.191167,40,13,0.173111661706,same_plan_h20
2019-07-12,industry_diffusion_low_max,10789127.7158,292935.904909,40,13,0.134690194254,same_plan_h20
2019-07-15,industry_diffusion_low_max,10860113.9816,292935.904909,40,13,0.134579247178,same_plan_h20
2019-07-16,industry_diffusion_low_max,10873374.1332,292935.904909,40,13,0.134213812665,same_plan_h20
2019-07-17,industry_diffusion_low_max,10859215.2701,292935.904909,40,13,0.13437318312,same_plan_h20
2019-07-18,industry_diffusion_low_max,10793963.1838,292935.904909,40,13,0.134920887066,same_plan_h20
2019-07-19,industry_diffusion_low_max,10822798.6365,75505.4492954,40,15,0.167018417724,same_plan_h20
2019-07-22,industry_diffusion_low_max,10711954.5423,75505.4492954,40,15,0.167610036951,same_plan_h20
2019-07-23,industry_diffusion_low_max,10700985.8053,75505.4492954,40,15,0.165625929381,same_plan_h20
2019-07-24,industry_diffusion_low_max,10795466.3613,75505.4492954,40,15,0.164546741618,same_plan_h20
2019-07-25,industry_diffusion_low_max,10829976.3918,75505.4492954,40,15,0.165210940707,same_plan_h20
2019-07-26,industry_diffusion_low_max,10850843.1202,166114.398587,40,11,0.182479228332,same_plan_h20
2019-07-29,industry_diffusion_low_max,10897782.6987,166114.398587,40,11,0.183141896916,same_plan_h20
2019-07-30,industry_diffusion_low_max,10911362.0172,166114.398587,40,11,0.182960430608,same_plan_h20
2019-07-31,industry_diffusion_low_max,10810753.6978,166114.398587,40,11,0.182128723059,same_plan_h20
2019-08-01,industry_diffusion_low_max,10772926.7575,166114.398587,40,11,0.181906697981,same_plan_h20
2019-08-02,industry_diffusion_low_max,10749265.7399,186119.020788,40,8,0.227713394318,same_plan_h20
2019-08-05,industry_diffusion_low_max,10549076.8733,186119.020788,40,8,0.227441302321,same_plan_h20
2019-08-06,industry_diffusion_low_max,10377562.9708,186119.020788,40,8,0.228612677857,same_plan_h20
2019-08-07,industry_diffusion_low_max,10286034.3214,186119.020788,40,8,0.228798291065,same_plan_h20
2019-08-08,industry_diffusion_low_max,10331381.8142,186119.020788,40,8,0.228948357241,same_plan_h20
2019-08-09,industry_diffusion_low_max,10159471.5922,66672.8952717,40,10,0.154389910653,same_plan_h20
2019-08-12,industry_diffusion_low_max,10364871.1301,66672.8952717,40,10,0.155222208738,same_plan_h20
