market_view,denominator,event_year,stratum,eligible_dates,complete_dates,minimum_anchor_count,minimum_response_count,minimum_response_retention,pit_complete_rows
ALL_A,NON_ST,2021,1,243,243,19,19,0.97101449275362317,243
ALL_A,NON_ST,2021,2,243,243,19,19,0.97530864197530864,243
ALL_A,NON_ST,2021,3,243,243,18,18,0.97368421052631582,243
ALL_A,NON_ST,2021,4,243,243,18,18,0.97058823529411764,243
ALL_A,NON_ST,2021,5,243,243,18,18,0.95945945945945943,243
ALL_A,NON_ST,2022,1,242,242,7,7,0.88888888888888884,242
ALL_A,NON_ST,2022,2,242,242,7,7,0.91666666666666663,242
ALL_A,NON_ST,2022,3,242,242,7,7,0.94736842105263153,242
ALL_A,NON_ST,2022,4,242,242,7,7,0.875,242
ALL_A,NON_ST,2022,5,242,242,6,6,0.9285714285714286,242
ALL_A,NON_ST,2023,1,242,237,13,0,0,242
ALL_A,NON_ST,2023,2,242,237,13,0,0,242
ALL_A,NON_ST,2023,3,242,237,13,0,0,242
ALL_A,NON_ST,2023,4,242,237,12,0,0,242
ALL_A,NON_ST,2023,5,242,237,12,0,0,242
CHINEXT_BOARD,ALL_STATUS,2018,1,116,116,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2018,2,116,116,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2018,3,116,116,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2018,4,116,116,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2018,5,116,116,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2019,1,214,214,6,6,1,0
CHINEXT_BOARD,ALL_STATUS,2019,2,214,214,6,6,1,0
CHINEXT_BOARD,ALL_STATUS,2019,3,214,214,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2019,4,214,214,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2019,5,214,214,5,5,1,0
CHINEXT_BOARD,ALL_STATUS,2020,1,217,217,6,6,1,44
CHINEXT_BOARD,ALL_STATUS,2020,2,217,216,5,4,0.80000000000000004,44
CHINEXT_BOARD,ALL_STATUS,2020,3,217,217,5,5,1,44
CHINEXT_BOARD,ALL_STATUS,2020,4,217,217,5,5,1,44
CHINEXT_BOARD,ALL_STATUS,2020,5,217,217,5,5,1,44
CHINEXT_BOARD,ALL_STATUS,2021,1,235,233,6,6,0.90909090909090906,235
CHINEXT_BOARD,ALL_STATUS,2021,2,235,233,5,5,0.91666666666666663,235
CHINEXT_BOARD,ALL_STATUS,2021,3,235,233,5,5,1,235
CHINEXT_BOARD,ALL_STATUS,2021,4,235,233,5,5,0.90000000000000002,235
CHINEXT_BOARD,ALL_STATUS,2021,5,235,233,5,5,0.81818181818181823,235
CHINEXT_BOARD,ALL_STATUS,2022,1,195,195,5,5,0.92307692307692313,195
CHINEXT_BOARD,ALL_STATUS,2022,2,195,194,5,5,0.81818181818181823,195
CHINEXT_BOARD,ALL_STATUS,2022,3,195,195,5,5,0.91666666666666663,195
CHINEXT_BOARD,ALL_STATUS,2022,4,195,195,5,5,0.8571428571428571,195
CHINEXT_BOARD,ALL_STATUS,2022,5,195,195,5,5,0.90000000000000002,195
CHINEXT_BOARD,ALL_STATUS,2023,1,236,233,5,0,0,236
CHINEXT_BOARD,ALL_STATUS,2023,2,236,233,5,0,0,236
CHINEXT_BOARD,ALL_STATUS,2023,3,236,233,5,0,0,236
CHINEXT_BOARD,ALL_STATUS,2023,4,236,233,5,0,0,236
CHINEXT_BOARD,ALL_STATUS,2023,5,236,233,5,0,0,236
CHINEXT_BOARD,NON_ST,2018,1,116,116,5,5,1,0
CHINEXT_BOARD,NON_ST,2018,2,116,116,5,5,1,0
CHINEXT_BOARD,NON_ST,2018,3,116,116,5,5,1,0
CHINEXT_BOARD,NON_ST,2018,4,116,116,5,5,1,0
CHINEXT_BOARD,NON_ST,2018,5,116,116,5,5,1,0
CHINEXT_BOARD,NON_ST,2019,1,214,214,6,6,1,0
CHINEXT_BOARD,NON_ST,2019,2,214,214,6,6,1,0
CHINEXT_BOARD,NON_ST,2019,3,214,214,5,5,1,0
CHINEXT_BOARD,NON_ST,2019,4,214,214,5,5,1,0
CHINEXT_BOARD,NON_ST,2019,5,214,214,5,5,1,0
CHINEXT_BOARD,NON_ST,2020,1,217,217,6,6,1,44
CHINEXT_BOARD,NON_ST,2020,2,217,216,5,4,0.80000000000000004,44
CHINEXT_BOARD,NON_ST,2020,3,217,217,5,5,1,44
CHINEXT_BOARD,NON_ST,2020,4,217,217,5,5,1,44
CHINEXT_BOARD,NON_ST,2020,5,217,217,5,5,1,44
CHINEXT_BOARD,NON_ST,2021,1,235,233,5,5,0.90000000000000002,235
CHINEXT_BOARD,NON_ST,2021,2,235,233,5,5,0.91666666666666663,235
CHINEXT_BOARD,NON_ST,2021,3,235,233,5,5,1,235
CHINEXT_BOARD,NON_ST,2021,4,235,233,5,5,0.90000000000000002,235
CHINEXT_BOARD,NON_ST,2021,5,235,233,5,5,0.81818181818181823,235
CHINEXT_BOARD,NON_ST,2022,1,192,192,5,5,0.96666666666666667,192
CHINEXT_BOARD,NON_ST,2022,2,192,192,5,5,0.90909090909090906,192
CHINEXT_BOARD,NON_ST,2022,3,192,192,5,5,0.92307692307692313,192
CHINEXT_BOARD,NON_ST,2022,4,192,192,5,5,0.94736842105263153,192
CHINEXT_BOARD,NON_ST,2022,5,192,192,5,5,0.96875,192
CHINEXT_BOARD,NON_ST,2023,1,234,231,6,0,0,234
CHINEXT_BOARD,NON_ST,2023,2,234,231,5,0,0,234
CHINEXT_BOARD,NON_ST,2023,3,234,231,5,0,0,234
CHINEXT_BOARD,NON_ST,2023,4,234,231,5,0,0,234
CHINEXT_BOARD,NON_ST,2023,5,234,231,5,0,0,234
SH_A,ALL_STATUS,2018,1,173,172,5,5,0.8571428571428571,0
SH_A,ALL_STATUS,2018,2,173,171,5,5,0.83333333333333337,0
SH_A,ALL_STATUS,2018,3,173,170,5,4,0.66666666666666663,0
SH_A,ALL_STATUS,2018,4,173,172,5,5,0.8571428571428571,0
SH_A,ALL_STATUS,2018,5,173,171,5,5,0.83333333333333337,0
SH_A,ALL_STATUS,2019,1,233,232,5,5,0.90000000000000002,0
SH_A,ALL_STATUS,2019,2,233,230,5,5,0.83333333333333337,0
SH_A,ALL_STATUS,2019,3,233,230,5,5,0.83333333333333337,0
SH_A,ALL_STATUS,2019,4,233,232,5,5,0.875,0
SH_A,ALL_STATUS,2019,5,233,229,5,4,0.80000000000000004,0
SH_A,ALL_STATUS,2020,1,239,239,6,6,0.9464285714285714,142
SH_A,ALL_STATUS,2020,2,239,239,6,6,0.90909090909090906,142
SH_A,ALL_STATUS,2020,3,239,239,5,5,0.93103448275862066,142
SH_A,ALL_STATUS,2020,4,239,239,5,5,0.9375,142
SH_A,ALL_STATUS,2020,5,239,239,5,5,0.8928571428571429,142
SH_A,ALL_STATUS,2021,1,243,243,9,9,0.9375,243
SH_A,ALL_STATUS,2021,2,243,243,9,9,0.90000000000000002,243
SH_A,ALL_STATUS,2021,3,243,243,9,9,0.94736842105263153,243
SH_A,ALL_STATUS,2021,4,243,243,8,8,0.94444444444444442,243
SH_A,ALL_STATUS,2021,5,243,243,8,8,0.94736842105263153,243
SH_A,ALL_STATUS,2022,1,231,230,5,4,0.80000000000000004,231
SH_A,ALL_STATUS,2022,2,231,231,5,5,0.90000000000000002,231
SH_A,ALL_STATUS,2022,3,231,230,5,5,0.83333333333333337,231
SH_A,ALL_STATUS,2022,4,231,231,5,5,0.875,231
SH_A,ALL_STATUS,2022,5,231,231,5,5,0.92307692307692313,231
SH_A,ALL_STATUS,2023,1,242,237,6,0,0,242
SH_A,ALL_STATUS,2023,2,242,236,6,0,0,242
SH_A,ALL_STATUS,2023,3,242,237,5,0,0,242
SH_A,ALL_STATUS,2023,4,242,237,5,0,0,242
SH_A,ALL_STATUS,2023,5,242,237,5,0,0,242
SH_A,NON_ST,2018,1,169,167,5,5,0.83333333333333337,0
SH_A,NON_ST,2018,2,169,167,5,5,0.83333333333333337,0
SH_A,NON_ST,2018,3,169,165,5,4,0.66666666666666663,0
SH_A,NON_ST,2018,4,169,167,5,5,0.8571428571428571,0
SH_A,NON_ST,2018,5,169,166,5,5,0.83333333333333337,0
SH_A,NON_ST,2019,1,233,232,5,5,0.90000000000000002,0
SH_A,NON_ST,2019,2,233,230,5,5,0.83333333333333337,0
SH_A,NON_ST,2019,3,233,230,5,5,0.83333333333333337,0
SH_A,NON_ST,2019,4,233,232,5,5,0.875,0
SH_A,NON_ST,2019,5,233,229,5,4,0.80000000000000004,0
SH_A,NON_ST,2020,1,239,239,6,6,0.94117647058823528,138
SH_A,NON_ST,2020,2,239,239,5,5,0.92307692307692313,138
SH_A,NON_ST,2020,3,239,239,5,5,0.93103448275862066,138
SH_A,NON_ST,2020,4,239,239,5,5,0.9375,138
SH_A,NON_ST,2020,5,239,239,5,5,0.88888888888888884,138
SH_A,NON_ST,2021,1,243,243,9,9,0.93548387096774188,243
SH_A,NON_ST,2021,2,243,243,9,9,0.89473684210526316,243
SH_A,NON_ST,2021,3,243,243,8,8,0.94444444444444442,243
SH_A,NON_ST,2021,4,243,243,8,8,0.94117647058823528,243
SH_A,NON_ST,2021,5,243,243,8,8,0.94736842105263153,243
SH_A,NON_ST,2022,1,230,229,5,4,0.80000000000000004,230
SH_A,NON_ST,2022,2,230,230,5,5,0.93103448275862066,230
SH_A,NON_ST,2022,3,230,230,5,5,0.88888888888888884,230
SH_A,NON_ST,2022,4,230,229,5,5,0.83333333333333337,230
SH_A,NON_ST,2022,5,230,230,5,5,0.93333333333333335,230
SH_A,NON_ST,2023,1,242,237,5,0,0,242
SH_A,NON_ST,2023,2,242,236,5,0,0,242
SH_A,NON_ST,2023,3,242,237,5,0,0,242
SH_A,NON_ST,2023,4,242,237,5,0,0,242
SH_A,NON_ST,2023,5,242,237,5,0,0,242
SZ_A,ALL_STATUS,2018,1,195,195,5,5,1,0
SZ_A,ALL_STATUS,2018,2,195,195,5,5,0.97499999999999998,0
SZ_A,ALL_STATUS,2018,3,195,195,5,5,1,0
SZ_A,ALL_STATUS,2018,4,195,195,5,5,0.94444444444444442,0
SZ_A,ALL_STATUS,2018,5,195,195,5,5,1,0
SZ_A,ALL_STATUS,2019,1,239,239,6,6,1,0
SZ_A,ALL_STATUS,2019,2,239,239,6,6,1,0
SZ_A,ALL_STATUS,2019,3,239,239,6,6,1,0
SZ_A,ALL_STATUS,2019,4,239,239,5,5,1,0
SZ_A,ALL_STATUS,2019,5,239,239,5,5,1,0
SZ_A,ALL_STATUS,2020,1,242,242,6,6,1,173
SZ_A,ALL_STATUS,2020,2,242,242,6,6,1,173
SZ_A,ALL_STATUS,2020,3,242,242,6,6,0.9285714285714286,173
SZ_A,ALL_STATUS,2020,4,242,242,6,6,1,173
SZ_A,ALL_STATUS,2020,5,242,242,5,5,1,173
SZ_A,ALL_STATUS,2021,1,243,243,11,11,0.95833333333333337,243
SZ_A,ALL_STATUS,2021,2,243,243,11,11,0.97727272727272729,243
SZ_A,ALL_STATUS,2021,3,243,243,11,11,0.95744680851063835,243
SZ_A,ALL_STATUS,2021,4,243,243,10,10,0.94736842105263153,243
SZ_A,ALL_STATUS,2021,5,243,243,10,10,0.95121951219512191,243
SZ_A,ALL_STATUS,2022,1,238,238,6,6,0.88888888888888884,238
SZ_A,ALL_STATUS,2022,2,238,238,6,6,0.8571428571428571,238
SZ_A,ALL_STATUS,2022,3,238,238,6,6,0.90000000000000002,238
SZ_A,ALL_STATUS,2022,4,238,238,6,6,0.8571428571428571,238
SZ_A,ALL_STATUS,2022,5,238,237,6,5,0.83333333333333337,238
SZ_A,ALL_STATUS,2023,1,242,237,8,0,0,242
SZ_A,ALL_STATUS,2023,2,242,237,8,0,0,242
SZ_A,ALL_STATUS,2023,3,242,237,8,0,0,242
SZ_A,ALL_STATUS,2023,4,242,237,8,0,0,242
SZ_A,ALL_STATUS,2023,5,242,237,8,0,0,242
SZ_A,NON_ST,2018,1,195,195,5,5,1,0
SZ_A,NON_ST,2018,2,195,195,5,5,1,0
SZ_A,NON_ST,2018,3,195,195,5,5,1,0
SZ_A,NON_ST,2018,4,195,195,5,5,1,0
SZ_A,NON_ST,2018,5,195,195,5,5,1,0
SZ_A,NON_ST,2019,1,239,239,6,6,1,0
SZ_A,NON_ST,2019,2,239,239,6,6,1,0
SZ_A,NON_ST,2019,3,239,239,6,6,1,0
SZ_A,NON_ST,2019,4,239,239,5,5,1,0
SZ_A,NON_ST,2019,5,239,239,5,5,1,0
SZ_A,NON_ST,2020,1,242,242,6,6,1,173
SZ_A,NON_ST,2020,2,242,242,6,6,1,173
SZ_A,NON_ST,2020,3,242,242,6,6,0.92307692307692313,173
SZ_A,NON_ST,2020,4,242,242,5,5,1,173
SZ_A,NON_ST,2020,5,242,242,5,5,1,173
SZ_A,NON_ST,2021,1,243,243,10,10,0.95744680851063835,243
SZ_A,NON_ST,2021,2,243,243,10,10,0.97674418604651159,243
SZ_A,NON_ST,2021,3,243,243,10,10,0.98245614035087714,243
SZ_A,NON_ST,2021,4,243,243,10,10,0.94999999999999996,243
SZ_A,NON_ST,2021,5,243,243,9,9,0.95121951219512191,243
SZ_A,NON_ST,2022,1,238,238,6,6,0.90000000000000002,238
SZ_A,NON_ST,2022,2,238,238,6,6,0.88888888888888884,238
SZ_A,NON_ST,2022,3,238,238,6,6,0.96153846153846156,238
SZ_A,NON_ST,2022,4,238,237,5,5,0.83333333333333337,238
SZ_A,NON_ST,2022,5,238,237,5,5,0.83333333333333337,238
SZ_A,NON_ST,2023,1,242,237,7,0,0,242
SZ_A,NON_ST,2023,2,242,237,7,0,0,242
SZ_A,NON_ST,2023,3,242,237,7,0,0,242
SZ_A,NON_ST,2023,4,242,237,6,0,0,242
SZ_A,NON_ST,2023,5,242,237,6,0,0,242
