section,representation,context,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,Q5-Q1,51184,252,,,-0.00608782099061,-0.00153588804402,-0.0156081802238,-0.00628444603168,-0.00242507686783,-0.00609369314777,0.00820266433533,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,1,50461,250,4146,118,0.000517786433998,-0.0186391922038,0.436455876816,0.00336622536797,-0.00977161616986,0.00238263805071,0.220645647133,-0.100250207468,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,2,50573,253,4195,118,-0.000789389831353,-0.0159921121612,0.438395982046,0.00168125371046,-0.00774643891412,0.00100650164448,0.184762620371,-0.0898503168133,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,3,50573,253,4128,118,-0.000712755231282,-0.014620149944,0.438989183952,0.00188979845495,-0.00617423796248,0.00111144902927,0.162636189271,-0.0845312669661,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,4,50569,253,4071,119,-0.00352663528506,-0.0158992844129,0.430837074097,-0.000519618744919,-0.00733316030575,-0.00166614511,0.169649389942,-0.085052414776,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,5,50572,254,4029,119,-0.00966739240712,-0.0231086425767,0.411037728387,-0.00689949324795,-0.0143235113704,-0.00783288211161,0.219825199715,-0.0996546204295,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,20,Q5-Q1,50461,250,,,-0.0101851788411,-0.00446945037288,-0.0254181484285,-0.0102657186159,-0.0045518952005,-0.0102155201623,-0.000820447418172,0.000595587038658,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,1,26982,158,3268,113,-0.00325462331503,-0.00315302815214,0.450151953154,-2.96267176509e-05,-0.00160522700447,-0.000193493980835,0.00374323623156,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,2,27043,161,3401,115,-0.00304317287498,-0.0030039128093,0.443257035092,0.000201800557153,-0.00110934851832,9.38227140846e-06,0.00244055763044,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,3,27051,161,3330,115,-0.00310543338674,-0.00352484524385,0.429078407453,9.6245358408e-05,-0.00104341432595,-4.8712584183e-05,0.00292040959669,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,4,27048,161,3283,115,-0.00343588785885,-0.00399201596806,0.422249334516,-0.000160101379593,-0.001476812882,-0.00038214299417,0.00329044661343,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,5,27108,162,3215,115,-0.00337738387375,-0.00399201596806,0.429430426442,-0.000118825420978,-0.00188024710148,-0.000323279957759,0.00870591707245,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,1,Q5-Q1,26982,158,,,-0.000122760558724,-0.000838987815927,-0.0207215267116,-8.91987033269e-05,-0.000275020097011,-0.000129785976924,0.00496268084089,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,1,26977,158,3268,113,0.00304675618928,0.000409534466421,0.504021944619,0.00100293061317,-0.00312892337008,0.00111871633303,0.0318048708159,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,2,27037,161,3401,115,0.00262274981798,0.000667670506939,0.506823981951,0.000587819002913,-0.00248739099964,0.000688100587653,0.024632910456,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,3,27044,161,3330,115,0.00200198771218,0.000243314227431,0.503069072622,0.000176208620456,-0.00233222120527,7.08049722676e-05,0.0212616476853,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,4,27039,161,3282,115,0.00125534656495,-0.000537653017664,0.494027145974,-0.000583809260421,-0.00311396073219,-0.000674029017116,0.0235955471726,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,5,27100,162,3215,115,0.000543999579972,-0.00167661542514,0.483579335793,-0.00146366009898,-0.00448133991763,-0.00138279005998,0.0409963099631,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,3,Q5-Q1,26977,158,,,-0.00250275660931,-0.00208614989156,-0.0204426088261,-0.00246659071215,-0.00135241654755,-0.00250150639301,0.00919143914722,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,1,26973,158,3267,113,0.00401539952002,-0.00111338017606,0.493196900604,0.00144975647928,-0.00417671523567,0.00130705687945,0.0659177696215,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,2,27032,161,3401,115,0.00387900120483,9.81741480636e-05,0.500517904706,0.00125085861841,-0.00296373501031,0.00116881550065,0.0519384433264,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,3,27032,161,3330,115,0.00284940156241,-0.000589765889882,0.495079905297,0.00027860537544,-0.00348486642095,0.00013766160647,0.0446877774489,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,4,27019,161,3279,115,0.00156268861008,-0.00130010249771,0.487397757134,-0.000818682279944,-0.00428537746721,-0.00114737921207,0.0492616307043,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,5,27085,162,3215,115,6.54881869141e-06,-0.00284717920481,0.478567472771,-0.00266636203038,-0.00660718960564,-0.00270254624008,0.0752076795274,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,5,Q5-Q1,26973,158,,,-0.00400885070133,-0.00173379902874,-0.0146294278334,-0.00411611850966,-0.00243047436997,-0.00400960311952,0.00928990990594,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,1,26951,158,3266,113,0.00208129809268,-0.00972443602005,0.452562057067,0.00157913025517,-0.0071779773941,0.000643811874402,0.125041742421,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,2,27005,161,3398,115,0.00190635572868,-0.0068397871876,0.459544528791,0.00133987212349,-0.0050051987773,0.000443301450938,0.096241436771,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,3,27005,161,3328,115,0.00199129095987,-0.00608887488182,0.460655434179,0.00121707912312,-0.00418063392575,0.000533268366049,0.0855397148676,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,4,26990,161,3278,115,-0.000346562989472,-0.00695192735907,0.454575768803,-0.000858958994268,-0.00535235131361,-0.00181378878092,0.0941459799926,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,5,27045,162,3215,115,-0.00299028851596,-0.0102189191132,0.446219264189,-0.00392579551329,-0.00967973190538,-0.0044279143283,0.13625439083,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,10,Q5-Q1,26951,158,,,-0.00507158660865,-0.000494483093201,-0.00634279287721,-0.00550492576846,-0.00250175451128,-0.0050717262027,0.0112126484087,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,1,26913,158,3264,113,0.00516632554684,-0.0162358340508,0.444543529149,0.00190631022929,-0.0114662640608,-0.000393193489231,0.220228142533,-0.0986762290174,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,2,26950,161,3392,115,0.00504488347662,-0.0125379565147,0.452430426716,0.00154140050033,-0.00896440823871,-0.000612239711089,0.181521335807,-0.0874830967652,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,3,26948,161,3320,115,0.00579360114882,-0.0107465468857,0.454950274603,0.00195191113877,-0.00693492649485,0.00016985135768,0.157859581416,-0.081532846322,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,4,26930,161,3277,115,0.00251888888437,-0.0135732052283,0.443260304493,-0.000529504637858,-0.00831782855417,-0.00304519721033,0.16813962124,-0.0829517596651,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,5,26959,162,3212,115,-0.00196647545882,-0.0185181411606,0.434474572499,-0.00569281587807,-0.0149101943005,-0.00753457046895,0.222634370711,-0.0991271478323,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,early_2018_2021,20,Q5-Q1,26913,158,,,-0.00713280100566,-0.00228230710979,-0.0100689566505,-0.00759912610736,-0.00344393023969,-0.00714137697971,0.00240622817773,-0.00045091881494,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,1,25202,96,3599,117,-0.00571648618672,-0.00665158808942,0.398222363304,0.00054296801422,-0.0011606455843,-0.000149344412277,0.0022617252599,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,2,25242,96,3860,117,-0.00585652685362,-0.00625652857219,0.386538309167,8.48502320351e-05,-0.00110026968928,-0.000295896680937,0.00213929165676,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,3,25240,96,3872,116,-0.00608523182753,-0.00621029655611,0.372266244057,-8.57180018412e-05,-0.000936954344157,-0.000524437667044,0.00194136291601,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,4,25243,96,3809,118,-0.00653070133013,-0.00655904685474,0.359822525056,-0.00033416364204,-0.000998331041974,-0.000970862582429,0.00198074713782,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,5,25282,96,3617,118,-0.00634989446792,-0.00713896062535,0.36444901511,-0.000161645851425,-0.00128524693057,-0.000787479987201,0.00510244442686,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,1,Q5-Q1,25202,96,,,-0.000633408281201,-0.000487372535935,-0.0337733481949,-0.000704613865645,-0.000124601346268,-0.000638135574924,0.00284071916696,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,1,24805,95,3581,117,-0.00341386152061,-0.00726417214849,0.435234831687,0.00108026548247,-0.00249564767811,0.000486279556153,0.0228179802459,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,2,24853,95,3847,117,-0.00369774965457,-0.00644049915971,0.430048686275,0.00047411329466,-0.0017499677618,0.000208697618354,0.0160141632801,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,3,24858,95,3858,116,-0.00418849554568,-0.00613258849776,0.425054308472,0.000281646044442,-0.00156228979025,-0.000299739256338,0.0138788317644,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,4,24857,95,3793,118,-0.00491274112576,-0.00625824573833,0.419117351249,-0.00050926355829,-0.00194571843028,-0.00101842173623,0.015327674297,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,5,24885,95,3599,118,-0.00566750313904,-0.00795386156883,0.413100261202,-0.001372682296,-0.00325028895778,-0.00176975389545,0.0285714285714,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,3,Q5-Q1,24805,95,,,-0.00225364161843,-0.000689689420334,-0.0221345704856,-0.00245294777848,-0.000754641279674,-0.0022560334516,0.00575344832551,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,1,24781,95,3581,117,-0.00396168163262,-0.00958058944455,0.430168274081,0.00175904959643,-0.00348934076696,0.000966795449143,0.0589968120738,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,2,24835,95,3846,117,-0.00422675044408,-0.00810209018002,0.429112140125,0.000771936752699,-0.00269187287138,0.000705870049526,0.0394604388967,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,3,24839,95,3855,116,-0.00505731010234,-0.00770846366968,0.425459962156,0.000401938278476,-0.00209944040145,-0.000147117130594,0.0376826764362,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,4,24841,95,3791,118,-0.00599512349857,-0.007950712248,0.424016746508,-0.00068796616318,-0.00253636829384,-0.00108847683725,0.0394509077734,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,5,24867,95,3598,118,-0.00771541932558,-0.0104806673298,0.412152652109,-0.00223688039653,-0.00459876520573,-0.00279139986141,0.0622511762577,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,5,Q5-Q1,24781,95,,,-0.00375373769295,-0.000900077885283,-0.0180156219717,-0.00399592999297,-0.00110942443876,-0.00375819531056,0.00325436418392,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,1,24233,94,3560,117,-0.0036502466141,-0.0141657440991,0.428382783807,0.0028973432751,-0.00526328544628,0.00256675473473,0.12148722816,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,2,24289,94,3818,117,-0.0048257657894,-0.0121076365787,0.429988883857,0.00136706284356,-0.00374822762783,0.00139634824486,0.0969986413603,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,3,24294,94,3825,116,-0.00604610095708,-0.0106372591462,0.432534782251,0.000806124693761,-0.00328420754844,0.000165825689808,0.087099695398,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,4,24301,94,3753,118,-0.00724544048318,-0.0112357103974,0.426073001111,-0.000781949789062,-0.00383155944363,-0.00104506405265,0.0888440804905,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,5,24315,94,3565,118,-0.0108687138926,-0.0162884108327,0.402467612585,-0.00425407278662,-0.00759601199943,-0.00466354315613,0.126341764343,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,10,Q5-Q1,24233,94,,,-0.00721846727847,-0.00212266673352,-0.0259151712224,-0.00715141606172,-0.00233272655315,-0.00723029789086,0.00485453618305,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,1,23548,92,3527,117,-0.00479502710192,-0.0214126424489,0.427212502123,0.00503476180959,-0.00807323713272,0.00555513483321,0.221122812978,-0.102049106825,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,2,23623,92,3789,117,-0.00744534655361,-0.0192043565602,0.422384963806,0.00184080347184,-0.00662623772975,0.00285322219362,0.188460398764,-0.0925509297878,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,3,23625,92,3786,116,-0.00813427022519,-0.0186391922038,0.420783068783,0.00181894924422,-0.00548471627391,0.00218548814266,0.168084656085,-0.0879514337181,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,4,23639,92,3719,118,-0.0104138118104,-0.0185373342328,0.416684292906,-0.00050835654699,-0.00651414275374,-9.51026351929e-05,0.171369347265,-0.0874455211738,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,5,23613,92,3518,118,-0.0184595416473,-0.0276042742102,0.384279845848,-0.00827715873792,-0.01380553356,-0.00817346499285,0.21661796468,-0.10025683674,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,late_2022_2023,20,Q5-Q1,23548,92,,,-0.0136645145454,-0.00619163176128,-0.0429326562757,-0.0133119205475,-0.00573229642726,-0.0137285998261,-0.00450484829727,0.00179227008429,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,1,2046,20,779,79,0.00462113026866,0.00409248572731,0.579667644184,0.00093268028863,8.03083093361e-05,0.00142376625375,0.000977517106549,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,2,2053,21,896,78,0.00420574029674,0.00323853201039,0.57330735509,0.000828136357329,-2.76669818091e-05,0.00100159915305,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,3,2056,20,878,77,0.00355231586545,0.00257765128318,0.570525291829,0.000169101935886,-0.000743248160147,0.000363528325919,0.000486381322957,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,4,2053,21,872,79,0.00309318258154,0.00218477773136,0.555772040916,-0.000156251284949,-0.00078291726285,-0.000110958562147,0.000487092060399,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,5,2062,21,741,80,0.00217151118263,0.00121927721739,0.525218234724,-0.00185591353784,-0.00276934256155,-0.00101920065515,0.00436469447139,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,1,Q5-Q1,2046,20,,,-0.00244961908602,-0.00287320850992,-0.0544494094602,-0.00278859382647,-0.00284965087089,-0.0024429669089,0.00338717736484,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,1,2046,20,779,79,-0.00778258871949,-0.00877453306591,0.414467253177,0.000490763641484,-0.00146682097627,0.000950154144517,0.0386119257087,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,2,2053,21,896,78,-0.00715419179372,-0.00870251090043,0.417924987823,0.000839051491402,-0.000245579261071,0.00157313629074,0.0350706283488,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,3,2056,20,878,77,-0.00730597485277,-0.00837020521647,0.40953307393,0.000549099543709,-0.000246155668089,0.00145367985605,0.0311284046693,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,4,2053,21,872,79,-0.00825121144914,-0.0076828872694,0.413054067219,0.00013786337114,0.000404606484746,0.000476116635328,0.0355577204092,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,5,2062,21,741,80,-0.0110362621042,-0.0090736976235,0.398642095053,-0.00243243105367,-0.00265828404039,-0.00229244015671,0.0407371483996,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,3,Q5-Q1,2046,20,,,-0.0032536733847,-0.000299164557592,-0.0158251581236,-0.00292319469515,-0.00119146306412,-0.00324259430123,0.00212522269091,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,1,2046,20,779,79,-0.00687629073653,-0.00602084945288,0.467253176931,0.00241685629959,-0.00130825023764,0.00264209931415,0.102150537634,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,2,2053,21,896,78,-0.00672443835945,-0.00793660204344,0.459814905017,0.00176407536585,0.000144895590618,0.00279377495242,0.0905991232343,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,3,2056,20,878,77,-0.00847676961742,-0.0081059496789,0.448443579767,0.000368308253599,-0.00132839796611,0.00105518282723,0.0802529182879,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,4,2053,21,872,79,-0.00964196875216,-0.00710778651248,0.457379444715,-0.000214702359905,-0.00107139564113,-0.000123755440287,0.0793960058451,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,5,2062,21,741,80,-0.0139205776426,-0.0094071308789,0.436954413191,-0.00451552858648,-0.0044760332453,-0.00440439442892,0.0872938894277,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,5,Q5-Q1,2046,20,,,-0.00704428690603,-0.00338628142601,-0.0302987637395,-0.00693238488607,-0.00316778300765,-0.00704649374307,-0.0148566482067,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,2018,10,1,2046,20,779,79,-0.0115455501375,-0.0137474652372,0.418377321603,0.00176230541412,-0.00276026829013,0.00203129322481,0.122678396872,,,,,,,,
